"architecture","method","burnin_candidate","estimand","candidate_mean","reference_mean","reference_posterior_sd","standardized_mean_shift","stable","status"
"sparse_homogeneous","st_csr_sbayesc",250,"residual_variance",1.01503469019579,1.01536731966688,0.0237198374786783,0.0140232609684252,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",250,"heritability",0.292648848782359,0.292290542080548,0.0137347967490042,0.0260875139515103,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",500,"effect_variance",0.00896458680469421,0.00893928524388569,0.0020751277057019,0.0121927728780237,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",500,"genetic_variance",0.419998072354745,0.419539845036147,0.0239188767072206,0.0191575601231966,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",500,"residual_variance",1.01517940845016,1.01536731966688,0.0237198374786783,0.00792211231990658,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",500,"heritability",0.29255255215194,0.292290542080548,0.0137347967490042,0.0190763704902441,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",1000,"effect_variance",0.00893928524388569,0.00893928524388569,0.0020751277057019,0,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",1000,"genetic_variance",0.419539845036147,0.419539845036147,0.0239188767072206,0,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",1000,"residual_variance",1.01536731966688,1.01536731966688,0.0237198374786783,0,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",1000,"heritability",0.292290542080548,0.292290542080548,0.0137347967490042,0,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",250,"effect_variance",0.00475486739968756,0.00479058293710484,0.0007440796260416,0.0479996174700834,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",250,"genetic_variance",0.561706886817257,0.561851116652912,0.0311643318831853,0.00462804196140882,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",250,"residual_variance",0.879034410600854,0.879071798787168,0.0266693494376743,0.00140191594852196,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",250,"heritability",0.38976280202674,0.389813327192247,0.017693677790463,0.00285554908964455,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",500,"effect_variance",0.00478099046209296,0.00479058293710484,0.0007440796260416,0.0128917318471808,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",500,"genetic_variance",0.562056249577383,0.561851116652912,0.0311643318831853,0.00658229816188638,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",500,"residual_variance",0.878880248849968,0.879071798787168,0.0266693494376743,0.00718240006744366,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",500,"heritability",0.389950445198154,0.389813327192247,0.017693677790463,0.00774954803236475,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",1000,"effect_variance",0.00479058293710484,0.00479058293710484,0.0007440796260416,0,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",1000,"genetic_variance",0.561851116652912,0.561851116652912,0.0311643318831853,0,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",1000,"residual_variance",0.879071798787168,0.879071798787168,0.0266693494376743,0,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",1000,"heritability",0.389813327192247,0.389813327192247,0.017693677790463,0,TRUE,"ok"
