"method","burnin","retained_draws","all_estimands_pass","limiting_estimand","limiting_diagnostic","maximum_rhat","minimum_bulk_ess","minimum_tail_ess","maximum_relative_mcse"
"st_bed_bayesrc",750,2000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",1.75535145359775,6.51505124652816,11.8144754440639,0.402978726932687
"st_bed_bayesrc",1000,500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.35016900939048,5.00161688150069,12.6065345398908,0.478283930400713
"st_bed_bayesrc",1000,1000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.14826926728111,5.2728783739537,11.263290149119,0.447921926551219
"st_bed_bayesrc",1000,1500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",1.71049865697375,6.3453261618836,11.3698206960149,0.409368063519133
"st_bed_bayesrc",1000,2000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",1.57930553756391,6.96887995048092,14.1633328667479,0.382703960240967
"st_csr_sbayesrc",250,500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.91751092759265,4.62628120975306,10.983937407543,0.483847342721846
"st_csr_sbayesrc",250,1000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.87026681404517,4.64707645726517,11.9517287543327,0.482844224501879
"st_csr_sbayesrc",250,1500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.5533840299011,4.80085410602925,12.0952588524559,0.473766906857382
"st_csr_sbayesrc",250,2000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.35290315548251,4.93590412809119,11.1880256140943,0.467107473806798
"st_csr_sbayesrc",250,2500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.09061575837562,5.2601685632866,12.5281542290925,0.454901111795922
"st_csr_sbayesrc",500,500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",3.04009850522187,4.59485609048084,11.4236059154349,0.488429869189582
"st_csr_sbayesrc",500,1000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",3.2830993462575,4.45669202060103,13.2174420596939,0.4804839950587
"st_csr_sbayesrc",500,1500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.49256090511027,4.84406263559251,10.6966056104863,0.482701182603271
"st_csr_sbayesrc",500,2000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.33309762940237,4.96074501482587,11.5346905120045,0.462264491529423
"st_csr_sbayesrc",500,2500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.0485744121457,5.36427258994521,12.1314777613719,0.462169224427398
"st_csr_sbayesrc",750,500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",3.11802310973242,4.56232379763142,11.3943449344422,0.486157545355464
"st_csr_sbayesrc",750,1000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.69091339664609,4.72536711479009,11.2183958454724,0.486679634715214
"st_csr_sbayesrc",750,1500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.65217853360537,4.72204070495649,10.9602705738665,0.479699732181152
"st_csr_sbayesrc",750,2000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.20572491677504,5.17693648111844,12.699475910277,0.463583054148403
"st_csr_sbayesrc",1000,500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",3.0995075903364,4.5716329119623,11.4944069600601,0.486724081695453
"st_csr_sbayesrc",1000,1000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.57256105574106,4.79792427951508,10.8469276548031,0.481348353541531
"st_csr_sbayesrc",1000,1500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.3985570042594,4.95706466324608,12.0952588524559,0.469728710740631
"st_csr_sbayesrc",1000,2000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.12983698254122,5.25090908764888,12.4328624610381,0.469373521342755
