"variant","label","quantity","mean","sd","lower_025","upper_975"
"csr_sparse_ld","CSR hard sparse","pi_component_3",0.00333279733629594,8.23670778562436e-05,0.00317392625988887,0.00349338847383903
"bed_exact_data","BED exact data","vbs",0.0797479131573356,0.0646554426058119,0.0261668298030016,0.226298680067222
"csr_exact_ld","CSR exact LD","vbs",0.0806795022192036,0.0679256226975961,0.0257828488475699,0.234903695727839
"csr_sparse_ld","CSR hard sparse","vbs",0.0797385628472747,0.0613382066879053,0.0269686360375891,0.215495322898985
"bed_exact_data","BED exact data","ves",1.00565758499442,0.0204912781773299,0.966232842643134,1.0466576649209
"csr_exact_ld","CSR exact LD","ves",1.00596602146192,0.0203350341781419,0.966402925638541,1.04517898910871
"csr_sparse_ld","CSR hard sparse","ves",0.992612576315926,0.0200685668561352,0.954400431429579,1.03268108792316
"bed_exact_data","BED exact data","vgs",0.401718757858075,0.0210229443904238,0.361175261890668,0.443931598385707
"csr_exact_ld","CSR exact LD","vgs",0.401471198939847,0.0212439510791579,0.360361754954036,0.443784071830044
"csr_sparse_ld","CSR hard sparse","vgs",0.415325702968769,0.021838955693652,0.372945936633179,0.458223019513639
"bed_exact_data","BED exact data","vld",0.00643082823953584,0.00142899305265529,0.00359044957055984,0.00919093100173101
"csr_exact_ld","CSR exact LD","vld",0.0064287838810651,0.00146169246004788,0.00345636792905812,0.00926993185087472
"csr_sparse_ld","CSR hard sparse","vld",-3.97046066472653e-05,0.000381716179684827,-0.000956166335051668,0.00070664752490343
"bed_exact_data","BED exact data","vle",0.395287929618539,0.0207697137290382,0.355100886937028,0.436545605884635
"csr_exact_ld","CSR exact LD","vle",0.395042415058781,0.0209815275638643,0.354877953743901,0.437027683293432
"csr_sparse_ld","CSR hard sparse","vle",0.415365407575416,0.0218460920581943,0.372982794843743,0.458407170940784
"block_eigen_full_rank","Block eigen full rank","active_probability",0.0100040605007171,0.000142477981536709,0.00971845329074786,0.0102806163379992
"block_eigen_retained","Block eigen retained 0.995","active_probability",0.00999745002977639,0.000141914553761576,0.00972092880398911,0.0102745933287093
"block_eigen_full_rank","Block eigen full rank","heritability",0.29475750161887,0.0118294004503814,0.27155569125987,0.31705210351066
"block_eigen_retained","Block eigen retained 0.995","heritability",0.292572477217617,0.011593512989793,0.270132333592264,0.315451087213797
"block_eigen_full_rank","Block eigen full rank","pi_component_0",0.989995939499283,0.000142477981536709,0.989719383662001,0.990281546709252
"block_eigen_retained","Block eigen retained 0.995","pi_component_0",0.990002549970224,0.000141914553761576,0.989725406671291,0.990279071196011
"block_eigen_full_rank","Block eigen full rank","pi_component_1",0.00333492061362148,8.10282456122314e-05,0.00317517266506153,0.00349938955998313
"block_eigen_retained","Block eigen retained 0.995","pi_component_1",0.00333384209836956,8.22102601083349e-05,0.00317899981536733,0.00349501882888985
"block_eigen_full_rank","Block eigen full rank","pi_component_2",0.00333502491346421,8.18622928149507e-05,0.00317669798603487,0.00349228775370207
"block_eigen_retained","Block eigen retained 0.995","pi_component_2",0.00333382816090298,8.09486142006115e-05,0.00317426277519255,0.0034909046038649
"block_eigen_full_rank","Block eigen full rank","pi_component_3",0.0033341149736314,8.25953588197183e-05,0.00317576766737638,0.00349029100187458
"block_eigen_retained","Block eigen retained 0.995","pi_component_3",0.00332977977050386,8.2132711570919e-05,0.00317088941165487,0.00348626467734149
"block_eigen_full_rank","Block eigen full rank","vbs",0.0784158296631229,0.0549166833315235,0.0267762758648013,0.212328919632799
"block_eigen_retained","Block eigen retained 0.995","vbs",0.0814222600852346,0.0580696282782257,0.0275402800042498,0.23051167487186
"block_eigen_full_rank","Block eigen full rank","ves",0.993102002436635,0.0199511978884573,0.954269262071878,1.03260717491764
"block_eigen_retained","Block eigen retained 0.995","ves",0.996316509336916,0.0201120152067707,0.958529484905688,1.03630029067985
"block_eigen_full_rank","Block eigen full rank","vgs",0.415276146319038,0.021702666346189,0.372946371532831,0.4581880891877
"block_eigen_retained","Block eigen retained 0.995","vgs",0.412255418290227,0.0214796356239029,0.371686761353443,0.454901438212078
"block_eigen_full_rank","Block eigen full rank","vld",0.000867666566004328,0.000617406979455839,-0.000415891166981325,0.00206300839580859
"block_eigen_retained","Block eigen retained 0.995","vld",0.000586606820535969,0.000660996144897699,-0.000875175294356974,0.00179814093888872
"block_eigen_full_rank","Block eigen full rank","vle",0.414408479753033,0.0216946443778018,0.372168497997249,0.457167289896217
"block_eigen_retained","Block eigen retained 0.995","vle",0.411668811469691,0.0215006848766509,0.370864543650873,0.454570085045689
