"architecture","replicate","configuration","method","status","chain_count","input_hash","source_sha","package_version","operator_contract","representation","eigen_prop","warnings","error_message"
"sparse_homogeneous",5,"bed","bayesc","ok",4,"2f243cdfc50efc98827747fb44603f53f71b6925e6d6a992c61ea1b69ec5d7d1","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",5,"block_csr","sbayesc","ok",4,"f1fccaa99aac4aaea3698b96f462d82bd0efbeb8f956a0c7aca4dafab669bfa1","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",5,"full_csr","sbayesc","ok",4,"598116959807d4a227cbd729c10fc08845d7bb32db2379ecfc1d99f7992cbd56","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",5,"low_rank_0995","sbayesc","ok",4,"8f4684e6f794312d6ca0de9fda653c47c48517f5bf2ca1b60c9ccaecfa9aba49","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,"",""
"sparse_homogeneous",5,"low_rank_0999","sbayesc","ok",4,"dd04a88febc43fab51a3d4c82cd24cdd7e04e2e646a3b01068688f80204e1d3a","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.999,"",""
"sparse_homogeneous",5,"low_rank_full","sbayesc","ok",4,"43019c2d44ac2ccc994339b0bbb8da40d724b3b56cd053762d8ae413df821c28","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",1,"",""
"sparse_mixture",1,"bed","bayesr","ok",4,"b2e93d17c37ee0831a329b7c9afdae7b5c89787e8d90ebc3718641a0960da104","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",1,"block_csr","sbayesr","ok",4,"c3190a870e0db562a10a844ad01dd5f16b113999f1e3e976f6b9a8b3e2a96b48","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",1,"full_csr","sbayesr","ok",4,"6153d2efeb083f5c2c4cf82a27004875734338bb85009745dee048a5d504ffb1","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",1,"low_rank_0995","sbayesr","ok",4,"3b62559aa8403a9d78b0f7424230ff1ab48e9850d77114023d20ba0acd052a6a","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,"",""
"sparse_mixture",1,"low_rank_0999","sbayesr","ok",4,"dcbaf9c0d2b528bce12241c1f2704f0f108b145d0d8fa0e5c5c611772aa8489a","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.999,"",""
"sparse_mixture",1,"low_rank_full","sbayesr","ok",4,"f19e646601721a8eedd4e05251322a860e482ea63e6fbb9790de556c05e0286f","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",1,"",""
"sparse_mixture",2,"bed","bayesr","ok",4,"c58fa4fe12eec4572c4fd80ea9753914f74b6fbd16ebd43fb1619be96b0039be","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",2,"block_csr","sbayesr","ok",4,"38146b25fcfa8d31e8d462fd6fe5114ddc4d7cf812ae854433050c874aeb5192","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",2,"full_csr","sbayesr","ok",4,"092a23d9953a9cb2eb47a0714df0f718a99cb6cbef917db2efd1731718f61a11","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",2,"low_rank_0995","sbayesr","ok",4,"2ea04f5463897697488b356dc74f5148007974cefc28d1ed7607525cda257a0a","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,"",""
"sparse_mixture",2,"low_rank_0999","sbayesr","ok",4,"3cd28fe2e2fc68a0f2f40e9959eb77129c7bf98ebba4a9cca2ec31faf8e053ee","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.999,"",""
"sparse_mixture",2,"low_rank_full","sbayesr","ok",4,"5624357b335ec7fca2d7fd9429325b60cf96adc6faf43aa2001f86d275d8a5b4","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",1,"",""
"sparse_mixture",3,"bed","bayesr","ok",4,"ad9e693a043e00eccec3c4c43ca58712293205b1b21ebc2c81e30372c4267ea6","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",3,"block_csr","sbayesr","ok",4,"e9f1e4d1a5b8f5a792456cc986d26dc040850251c3bf35abb31cff29c22c6ab9","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",3,"full_csr","sbayesr","ok",4,"811fa84316c8929865db245860f9d6d2a1d969f819a743ed98507120a9cade97","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",3,"low_rank_0995","sbayesr","ok",4,"2eef034aa0652367c33375265479d52d69e54a629b60900bfb70a1c3cb8e0b01","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,"",""
"sparse_mixture",3,"low_rank_0999","sbayesr","ok",4,"717abcdce14e7aa78ff6f960f7e6578b325739113e75919957ae995b9bdc4cb8","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.999,"",""
"sparse_mixture",3,"low_rank_full","sbayesr","ok",4,"9170f24357b6799859bb1ccb7962524bc834c18c490d1abd8989978445be7317","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",1,"",""
"sparse_mixture",4,"bed","bayesr","ok",4,"5a819d1f18ca382e3dba45efca2093a7c74e37fb2f231cd7c50cda1dcb086b8d","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",4,"block_csr","sbayesr","ok",4,"d490e642b2c49ab2e88aae0630f65110b548bdc4a4a3149c4a7db6082a6061fb","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",4,"full_csr","sbayesr","ok",4,"76de70830eaa0cbe169343ffe181c3ebe15c81d2abfc328c95121bc911f14285","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",4,"low_rank_0995","sbayesr","ok",4,"f88afa9078d7cfd9361e80da9f55c4c77cc8b729434a99973a5656ef87eec344","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,"",""
"sparse_mixture",4,"low_rank_0999","sbayesr","ok",4,"dade354eb420faf3c9ffa25d17a6c2bb32e45f85f6db745f3cad7a6660963410","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.999,"",""
"sparse_mixture",4,"low_rank_full","sbayesr","ok",4,"b9ec744b335f5112e69a4cddeefb48eb7bdc5fd3caef162c3f6f284f2e45066e","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",1,"",""
"sparse_mixture",5,"bed","bayesr","ok",4,"dff0ec249dd16de21ed1f99f2519151b27e39619aefa611d9ea305560e9cc1ca","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",5,"block_csr","sbayesr","ok",4,"5a1d57cf0a9ccff1a14f3656cf9d5bc67ece4a01482a23a5366d232e5d7d2abe","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",5,"full_csr","sbayesr","ok",4,"0b4fa2d120d6f47fb957dce1feb130a79aac170ae4421cced7b4e28e536fc86e","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_mixture",5,"low_rank_0995","sbayesr","ok",4,"8a31280ee3c795706ac1244883857437a294b83f6dcadd0f08b83938f53ffa03","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,"",""
"sparse_mixture",5,"low_rank_0999","sbayesr","ok",4,"ffdff239ffe3346eed8dfc33366db58a8c4257801bcdcb4345be1cb1e80a956d","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.999,"",""
"sparse_mixture",5,"low_rank_full","sbayesr","ok",4,"cc9c98adeb075e938bbee9009faf78f3d46fd38e670563dd4222ae5908a560e2","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",1,"",""
