"architecture","replicate","method","trait","simulation_seed","causal_selection_seed","mcmc_seed","sblr_version","qgg_version","sblrbench_commit","method_controls","runtime","convergence_status","status","reason"
"separated",3,"st_csr_sbayesc","D1",3004,2004,10303,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10303,""convergence"":""core"",""verbose"":false}",20.7199999999998,"reported","ok",""
"separated",3,"st_csr_sbayesr","D1",3004,2004,10304,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10304,""convergence"":""core"",""verbose"":false}",54.52,"reported","ok",""
"separated",4,"st_bed_bayesc","D1",3005,2005,10401,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10401,""convergence"":""core"",""verbose"":false}",71.1599999999999,"reported","ok",""
"separated",4,"st_bed_bayesr","D1",3005,2005,10402,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10402,""convergence"":""core"",""verbose"":false}",93.0300000000002,"reported","ok",""
"separated",4,"st_csr_sbayesc","D1",3005,2005,10403,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10403,""convergence"":""core"",""verbose"":false}",20.3199999999997,"reported","ok",""
"separated",4,"st_csr_sbayesr","D1",3005,2005,10404,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10404,""convergence"":""core"",""verbose"":false}",54.6500000000001,"reported","ok",""
"separated",5,"st_bed_bayesc","D1",3006,2006,10501,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10501,""convergence"":""core"",""verbose"":false}",70.1700000000001,"reported","ok",""
"separated",5,"st_bed_bayesr","D1",3006,2006,10502,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10502,""convergence"":""core"",""verbose"":false}",93.2000000000003,"reported","ok",""
"separated",5,"st_csr_sbayesc","D1",3006,2006,10503,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10503,""convergence"":""core"",""verbose"":false}",22.25,"reported","ok",""
"separated",5,"st_csr_sbayesr","D1",3006,2006,10504,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10504,""convergence"":""core"",""verbose"":false}",56.6300000000001,"reported","ok",""
"separated",6,"st_bed_bayesc","D1",3007,2007,10601,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10601,""convergence"":""core"",""verbose"":false}",68.3799999999997,"reported","ok",""
"separated",6,"st_bed_bayesr","D1",3007,2007,10602,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10602,""convergence"":""core"",""verbose"":false}",88.3699999999999,"reported","ok",""
"separated",6,"st_csr_sbayesc","D1",3007,2007,10603,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10603,""convergence"":""core"",""verbose"":false}",21.21,"reported","ok",""
"separated",6,"st_csr_sbayesr","D1",3007,2007,10604,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10604,""convergence"":""core"",""verbose"":false}",54.3000000000002,"reported","ok",""
"separated",7,"st_bed_bayesc","D1",3008,2008,10701,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10701,""convergence"":""core"",""verbose"":false}",64.3600000000001,"reported","ok",""
"separated",7,"st_bed_bayesr","D1",3008,2008,10702,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10702,""convergence"":""core"",""verbose"":false}",91.7399999999998,"reported","ok",""
"separated",7,"st_csr_sbayesc","D1",3008,2008,10703,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10703,""convergence"":""core"",""verbose"":false}",20.4199999999996,"reported","ok",""
"separated",7,"st_csr_sbayesr","D1",3008,2008,10704,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10704,""convergence"":""core"",""verbose"":false}",54.3400000000001,"reported","ok",""
"separated",8,"st_bed_bayesc","D1",3009,2009,10801,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10801,""convergence"":""core"",""verbose"":false}",66.3299999999999,"reported","ok",""
"separated",8,"st_bed_bayesr","D1",3009,2009,10802,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10802,""convergence"":""core"",""verbose"":false}",93.9699999999998,"reported","ok",""
"separated",8,"st_csr_sbayesc","D1",3009,2009,10803,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10803,""convergence"":""core"",""verbose"":false}",20.6599999999999,"reported","ok",""
"separated",8,"st_csr_sbayesr","D1",3009,2009,10804,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10804,""convergence"":""core"",""verbose"":false}",55.3300000000004,"reported","ok",""
"separated",9,"st_bed_bayesc","D1",3010,2010,10901,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10901,""convergence"":""core"",""verbose"":false}",65.8299999999999,"reported","ok",""
"separated",9,"st_bed_bayesr","D1",3010,2010,10902,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10902,""convergence"":""core"",""verbose"":false}",88.5799999999999,"reported","ok",""
"separated",9,"st_csr_sbayesc","D1",3010,2010,10903,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10903,""convergence"":""core"",""verbose"":false}",20.96,"reported","ok",""
"separated",9,"st_csr_sbayesr","D1",3010,2010,10904,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10904,""convergence"":""core"",""verbose"":false}",54.25,"reported","ok",""
"separated",10,"st_bed_bayesc","D1",3011,2011,11001,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":11001,""convergence"":""core"",""verbose"":false}",67.7300000000005,"reported","ok",""
"separated",10,"st_bed_bayesr","D1",3011,2011,11002,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":11002,""convergence"":""core"",""verbose"":false}",89.3900000000003,"reported","ok",""
"separated",10,"st_csr_sbayesc","D1",3011,2011,11003,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":11003,""convergence"":""core"",""verbose"":false}",21.4200000000001,"reported","ok",""
"separated",10,"st_csr_sbayesr","D1",3011,2011,11004,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":11004,""convergence"":""core"",""verbose"":false}",56.1999999999998,"reported","ok",""
