"architecture","replicate","estimand_id","comparison_id","focal_method","comparison_method","comparison_type","estimate_difference","absolute_error_difference","interval_width_difference","coverage_agreement"
"sparse_mixture",1,"residual_variance","csr_vs_bed_bayesr","st_csr_sbayesr","st_bed_bayesr","BED-versus-CSR",-0.127700891203113,0.115293446237211,0.0334255468773473,FALSE
"sparse_homogeneous",1,"effect_variance","bayesr_vs_bayesc_bed","st_bed_bayesr","st_bed_bayesc","prior-class",-0.00971866326514535,0.000724012760444035,-0.0120425440122842,FALSE
"sparse_homogeneous",1,"genetic_variance","bayesr_vs_bayesc_bed","st_bed_bayesr","st_bed_bayesc","prior-class",0.0333969572478033,-0.0333969572478033,0.00635910210583279,TRUE
"sparse_homogeneous",1,"heritability","bayesr_vs_bayesc_bed","st_bed_bayesr","st_bed_bayesc","prior-class",0.0238338220089024,-0.0238338220089024,0.00540351129851979,FALSE
"sparse_homogeneous",1,"residual_variance","bayesr_vs_bayesc_bed","st_bed_bayesr","st_bed_bayesc","prior-class",-0.0360787652453545,-0.0360787652453545,0.00614997874678591,FALSE
"sparse_mixture",1,"effect_variance","bayesr_vs_bayesc_bed","st_bed_bayesr","st_bed_bayesc","prior-class",-0.0191706161693821,-0.00958477280947652,-0.028636705324379,TRUE
"sparse_mixture",1,"genetic_variance","bayesr_vs_bayesc_bed","st_bed_bayesr","st_bed_bayesc","prior-class",0.0280880054199338,-0.0238959504864542,0.0108543033436244,TRUE
"sparse_mixture",1,"heritability","bayesr_vs_bayesc_bed","st_bed_bayesr","st_bed_bayesc","prior-class",0.0206047208095298,-0.0206047208095298,0.00399344513433147,TRUE
"sparse_mixture",1,"residual_variance","bayesr_vs_bayesc_bed","st_bed_bayesr","st_bed_bayesc","prior-class",-0.0334835682140417,-0.0334835682140417,-0.0018550219126382,FALSE
"sparse_homogeneous",1,"causal_proportion","sbayesr_vs_sbayesc_csr","st_csr_sbayesr","st_csr_sbayesc","prior-class",0.00896889998622666,0.00837059023143802,0.000365389726322083,TRUE
"sparse_homogeneous",1,"effect_variance","sbayesr_vs_sbayesc_csr","st_csr_sbayesr","st_csr_sbayesc","prior-class",-0.0049978388801878,0.00385936277981632,-0.00618199966329272,FALSE
"sparse_homogeneous",1,"genetic_variance","sbayesr_vs_sbayesc_csr","st_csr_sbayesr","st_csr_sbayesc","prior-class",0.118598419107531,0.0999819680996932,0.0196475683736734,FALSE
"sparse_homogeneous",1,"heritability","sbayesr_vs_sbayesc_csr","st_csr_sbayesr","st_csr_sbayesc","prior-class",0.0834245112304635,0.0670348338998199,0.0122447136561801,FALSE
"sparse_homogeneous",1,"residual_variance","sbayesr_vs_sbayesc_csr","st_csr_sbayesr","st_csr_sbayesc","prior-class",-0.121756870123541,0.0877428340984453,0.0122305374268068,FALSE
"sparse_homogeneous",1,"total_marker_effect_variance","sbayesr_vs_sbayesc_csr","st_csr_sbayesr","st_csr_sbayesc","prior-class",1.20447026587324,1.05339746116365,0.564333111882043,FALSE
"sparse_mixture",1,"causal_proportion","sbayesr_vs_sbayesc_csr","st_csr_sbayesr","st_csr_sbayesc","prior-class",0.00895755310699821,0.00831513174306127,0.000383082467874177,TRUE
"sparse_mixture",1,"effect_variance","sbayesr_vs_sbayesc_csr","st_csr_sbayesr","st_csr_sbayesc","prior-class",-0.00756638127367139,5.64456423535805e-05,-0.0118229514526679,FALSE
"sparse_mixture",1,"genetic_variance","sbayesr_vs_sbayesc_csr","st_csr_sbayesr","st_csr_sbayesc","prior-class",0.127633949156218,0.127633949156218,0.0201978696337761,FALSE
"sparse_mixture",1,"heritability","sbayesr_vs_sbayesc_csr","st_csr_sbayesr","st_csr_sbayesc","prior-class",0.0884459335926381,0.0884459335926381,0.017380914810788,FALSE
"sparse_mixture",1,"residual_variance","sbayesr_vs_sbayesc_csr","st_csr_sbayesr","st_csr_sbayesc","prior-class",-0.126406854463402,0.116587482976923,0.0276173790818999,FALSE
"sparse_mixture",1,"total_marker_effect_variance","sbayesr_vs_sbayesc_csr","st_csr_sbayesr","st_csr_sbayesc","prior-class",1.30868136685479,1.30868136685479,0.472971643676847,FALSE
