"architecture","method","model_specification","estimand_id","replicate_count","successful_replicates","mean_truth","mean_posterior_mean","mean_bias","rmse","mae","empirical_coverage_95","coverage_observation","mean_interval_width_95","minimum","maximum","failure_count"
"sparse_homogeneous","st_csr_sbayesc","matched","heritability",1,1,0.3,0.291805161334678,-0.00819483866532178,0.00819483866532178,0.00819483866532178,,TRUE,0.0558210530240726,0.291805161334678,0.291805161334678,0
"sparse_mixture","st_csr_sbayesr","matched","heritability",1,1,0.3,0.389325441742325,0.0893254417423254,0.0893254417423254,0.0893254417423254,,FALSE,0.0728917600810516,0.389325441742325,0.389325441742325,0
"sparse_mixture","st_bed_bayesc","misspecified","heritability",1,1,0.3,0.279018240603394,-0.0209817593966057,0.0209817593966057,0.0209817593966057,,TRUE,0.0448024449374675,0.279018240603394,0.279018240603394,0
"sparse_homogeneous","st_bed_bayesr","misspecified","heritability",1,1,0.3,0.296402974620377,-0.00359702537962331,0.00359702537962331,0.00359702537962331,,TRUE,0.0548180225506376,0.296402974620377,0.296402974620377,0
"sparse_mixture","st_csr_sbayesc","misspecified","heritability",1,1,0.3,0.300879508149687,0.000879508149687291,0.000879508149687291,0.000879508149687291,,TRUE,0.0555108452702636,0.300879508149687,0.300879508149687,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","heritability",1,1,0.3,0.375229672565142,0.0752296725651417,0.0752296725651417,0.0752296725651417,,FALSE,0.0680657666802527,0.375229672565142,0.375229672565142,0
"sparse_homogeneous","st_bed_bayesc","matched","residual_variance",1,1,1,1.04362019117498,0.0436201911749752,0.0436201911749752,0.0436201911749752,,FALSE,0.0827612021138842,1.04362019117498,1.04362019117498,0
"sparse_mixture","st_bed_bayesr","matched","residual_variance",1,1,1,1.00620372248295,0.00620372248295098,0.00620372248295098,0.00620372248295098,,TRUE,0.0772928613449496,1.00620372248295,1.00620372248295,0
"sparse_homogeneous","st_csr_sbayesc","matched","residual_variance",1,1,1,1.01700701801255,0.0170070180125479,0.0170070180125479,0.0170070180125479,,TRUE,0.0925318558249379,1.01700701801255,1.01700701801255,0
"sparse_mixture","st_csr_sbayesr","matched","residual_variance",1,1,1,0.878502831279838,-0.121497168720162,0.121497168720162,0.121497168720162,,FALSE,0.110718408222297,0.878502831279838,0.878502831279838,0
"sparse_mixture","st_bed_bayesc","misspecified","residual_variance",1,1,1,1.03968729069699,0.0396872906969927,0.0396872906969927,0.0396872906969927,,FALSE,0.0791478832575878,1.03968729069699,1.03968729069699,0
"sparse_homogeneous","st_bed_bayesr","misspecified","residual_variance",1,1,1,1.00754142592962,0.0075414259296207,0.0075414259296207,0.0075414259296207,,TRUE,0.0889111808606701,1.00754142592962,1.00754142592962,0
"sparse_mixture","st_csr_sbayesc","misspecified","residual_variance",1,1,1,1.00490968574324,0.00490968574323936,0.00490968574323936,0.00490968574323936,,TRUE,0.0831010291403971,1.00490968574324,1.00490968574324,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","residual_variance",1,1,1,0.895250147889007,-0.104749852110993,0.104749852110993,0.104749852110993,,FALSE,0.104762393251745,0.895250147889007,0.895250147889007,0
"sparse_homogeneous","st_bed_bayesc","matched","total_marker_effect_variance",1,1,0.426469242202764,0.494111205111929,0.067641962909165,0.067641962909165,0.067641962909165,,TRUE,0.534498242871365,0.494111205111929,0.494111205111929,0
"sparse_homogeneous","st_csr_sbayesc","matched","total_marker_effect_variance",1,1,0.426469242202764,0.350932839847969,-0.0755364023547951,0.0755364023547951,0.0755364023547951,,TRUE,0.327100257802075,0.350932839847969,0.350932839847969,0
"sparse_mixture","st_csr_sbayesr","matched","total_marker_effect_variance",1,1,0.424840352109774,1.77118575466176,1.34634540255198,1.34634540255198,1.34634540255198,,FALSE,1.01488409126825,1.77118575466176,1.77118575466176,0
"sparse_mixture","st_bed_bayesc","misspecified","total_marker_effect_variance",1,1,0.424840352109774,0.838076142861006,0.413235790751232,0.413235790751232,0.413235790751232,,FALSE,1.12595328314147,0.838076142861006,0.838076142861006,0
"sparse_mixture","st_csr_sbayesc","misspecified","total_marker_effect_variance",1,1,0.424840352109774,0.462504387806966,0.0376640356971923,0.0376640356971923,0.0376640356971923,,TRUE,0.541912447591401,0.462504387806966,0.462504387806966,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","total_marker_effect_variance",1,1,0.426469242202764,1.55540310572121,1.12893386351844,1.12893386351844,1.12893386351844,,FALSE,0.891433369684119,1.55540310572121,1.55540310572121,0
