"architecture","replicate","configuration","chain","data_selection_seed","simulation_seed","fit_seed","chain_seed"
"sparse_homogeneous",4,"bed",4,3101,61400,662400,662804
"sparse_homogeneous",4,"block_csr",1,3101,61400,664400,664501
"sparse_homogeneous",4,"block_csr",2,3101,61400,664400,664602
"sparse_homogeneous",4,"block_csr",3,3101,61400,664400,664703
"sparse_homogeneous",4,"block_csr",4,3101,61400,664400,664804
"sparse_homogeneous",4,"block_eigen_hard",1,3101,61400,666400,666501
"sparse_homogeneous",4,"block_eigen_hard",2,3101,61400,666400,666602
"sparse_homogeneous",4,"block_eigen_hard",3,3101,61400,666400,666703
"sparse_homogeneous",4,"block_eigen_hard",4,3101,61400,666400,666804
"sparse_homogeneous",4,"block_eigen_ridge_fixed",1,3101,61400,667400,667501
"sparse_homogeneous",4,"block_eigen_ridge_fixed",2,3101,61400,667400,667602
"sparse_homogeneous",4,"block_eigen_ridge_fixed",3,3101,61400,667400,667703
"sparse_homogeneous",4,"block_eigen_ridge_fixed",4,3101,61400,667400,667804
"sparse_homogeneous",4,"block_eigen_unfiltered",1,3101,61400,665400,665501
"sparse_homogeneous",4,"block_eigen_unfiltered",2,3101,61400,665400,665602
"sparse_homogeneous",4,"block_eigen_unfiltered",3,3101,61400,665400,665703
"sparse_homogeneous",4,"block_eigen_unfiltered",4,3101,61400,665400,665804
"sparse_homogeneous",4,"full_csr",1,3101,61400,663400,663501
"sparse_homogeneous",4,"full_csr",2,3101,61400,663400,663602
"sparse_homogeneous",4,"full_csr",3,3101,61400,663400,663703
"sparse_homogeneous",4,"full_csr",4,3101,61400,663400,663804
"sparse_homogeneous",5,"bed",1,3101,61500,662500,662601
"sparse_homogeneous",5,"bed",2,3101,61500,662500,662702
"sparse_homogeneous",5,"bed",3,3101,61500,662500,662803
"sparse_homogeneous",5,"bed",4,3101,61500,662500,662904
"sparse_homogeneous",5,"block_csr",1,3101,61500,664500,664601
"sparse_homogeneous",5,"block_csr",2,3101,61500,664500,664702
"sparse_homogeneous",5,"block_csr",3,3101,61500,664500,664803
"sparse_homogeneous",5,"block_csr",4,3101,61500,664500,664904
"sparse_homogeneous",5,"block_eigen_hard",1,3101,61500,666500,666601
"sparse_homogeneous",5,"block_eigen_hard",2,3101,61500,666500,666702
"sparse_homogeneous",5,"block_eigen_hard",3,3101,61500,666500,666803
"sparse_homogeneous",5,"block_eigen_hard",4,3101,61500,666500,666904
"sparse_homogeneous",5,"block_eigen_ridge_fixed",1,3101,61500,667500,667601
"sparse_homogeneous",5,"block_eigen_ridge_fixed",2,3101,61500,667500,667702
"sparse_homogeneous",5,"block_eigen_ridge_fixed",3,3101,61500,667500,667803
"sparse_homogeneous",5,"block_eigen_ridge_fixed",4,3101,61500,667500,667904
"sparse_homogeneous",5,"block_eigen_unfiltered",1,3101,61500,665500,665601
"sparse_homogeneous",5,"block_eigen_unfiltered",2,3101,61500,665500,665702
"sparse_homogeneous",5,"block_eigen_unfiltered",3,3101,61500,665500,665803
"sparse_homogeneous",5,"block_eigen_unfiltered",4,3101,61500,665500,665904
"sparse_homogeneous",5,"full_csr",1,3101,61500,663500,663601
"sparse_homogeneous",5,"full_csr",2,3101,61500,663500,663702
"sparse_homogeneous",5,"full_csr",3,3101,61500,663500,663803
"sparse_homogeneous",5,"full_csr",4,3101,61500,663500,663904
"sparse_mixture",1,"bed",1,3101,71100,672100,672201
"sparse_mixture",1,"bed",2,3101,71100,672100,672302
"sparse_mixture",1,"bed",3,3101,71100,672100,672403
"sparse_mixture",1,"bed",4,3101,71100,672100,672504
"sparse_mixture",1,"block_csr",1,3101,71100,674100,674201
"sparse_mixture",1,"block_csr",2,3101,71100,674100,674302
"sparse_mixture",1,"block_csr",3,3101,71100,674100,674403
"sparse_mixture",1,"block_csr",4,3101,71100,674100,674504
"sparse_mixture",1,"block_eigen_hard",1,3101,71100,676100,676201
"sparse_mixture",1,"block_eigen_hard",2,3101,71100,676100,676302
"sparse_mixture",1,"block_eigen_hard",3,3101,71100,676100,676403
"sparse_mixture",1,"block_eigen_hard",4,3101,71100,676100,676504
"sparse_mixture",1,"block_eigen_ridge_fixed",1,3101,71100,677100,677201
"sparse_mixture",1,"block_eigen_ridge_fixed",2,3101,71100,677100,677302
"sparse_mixture",1,"block_eigen_ridge_fixed",3,3101,71100,677100,677403
"sparse_mixture",1,"block_eigen_ridge_fixed",4,3101,71100,677100,677504
"sparse_mixture",1,"block_eigen_unfiltered",1,3101,71100,675100,675201
"sparse_mixture",1,"block_eigen_unfiltered",2,3101,71100,675100,675302
"sparse_mixture",1,"block_eigen_unfiltered",3,3101,71100,675100,675403
"sparse_mixture",1,"block_eigen_unfiltered",4,3101,71100,675100,675504
"sparse_mixture",1,"full_csr",1,3101,71100,673100,673201
"sparse_mixture",1,"full_csr",2,3101,71100,673100,673302
"sparse_mixture",1,"full_csr",3,3101,71100,673100,673403
"sparse_mixture",1,"full_csr",4,3101,71100,673100,673504
"sparse_mixture",2,"bed",1,3101,71200,672200,672301
"sparse_mixture",2,"bed",2,3101,71200,672200,672402
"sparse_mixture",2,"bed",3,3101,71200,672200,672503
"sparse_mixture",2,"bed",4,3101,71200,672200,672604
"sparse_mixture",2,"block_csr",1,3101,71200,674200,674301
"sparse_mixture",2,"block_csr",2,3101,71200,674200,674402
"sparse_mixture",2,"block_csr",3,3101,71200,674200,674503
"sparse_mixture",2,"block_csr",4,3101,71200,674200,674604
"sparse_mixture",2,"block_eigen_hard",1,3101,71200,676200,676301
"sparse_mixture",2,"block_eigen_hard",2,3101,71200,676200,676402
"sparse_mixture",2,"block_eigen_hard",3,3101,71200,676200,676503
"sparse_mixture",2,"block_eigen_hard",4,3101,71200,676200,676604
"sparse_mixture",2,"block_eigen_ridge_fixed",1,3101,71200,677200,677301
"sparse_mixture",2,"block_eigen_ridge_fixed",2,3101,71200,677200,677402
"sparse_mixture",2,"block_eigen_ridge_fixed",3,3101,71200,677200,677503
"sparse_mixture",2,"block_eigen_ridge_fixed",4,3101,71200,677200,677604
"sparse_mixture",2,"block_eigen_unfiltered",1,3101,71200,675200,675301
"sparse_mixture",2,"block_eigen_unfiltered",2,3101,71200,675200,675402
"sparse_mixture",2,"block_eigen_unfiltered",3,3101,71200,675200,675503
"sparse_mixture",2,"block_eigen_unfiltered",4,3101,71200,675200,675604
"sparse_mixture",2,"full_csr",1,3101,71200,673200,673301
"sparse_mixture",2,"full_csr",2,3101,71200,673200,673402
"sparse_mixture",2,"full_csr",3,3101,71200,673200,673503
"sparse_mixture",2,"full_csr",4,3101,71200,673200,673604
"sparse_mixture",3,"bed",1,3101,71300,672300,672401
"sparse_mixture",3,"bed",2,3101,71300,672300,672502
"sparse_mixture",3,"bed",3,3101,71300,672300,672603
"sparse_mixture",3,"bed",4,3101,71300,672300,672704
"sparse_mixture",3,"block_csr",1,3101,71300,674300,674401
"sparse_mixture",3,"block_csr",2,3101,71300,674300,674502
"sparse_mixture",3,"block_csr",3,3101,71300,674300,674603
"sparse_mixture",3,"block_csr",4,3101,71300,674300,674704
"sparse_mixture",3,"block_eigen_hard",1,3101,71300,676300,676401
"sparse_mixture",3,"block_eigen_hard",2,3101,71300,676300,676502
"sparse_mixture",3,"block_eigen_hard",3,3101,71300,676300,676603
"sparse_mixture",3,"block_eigen_hard",4,3101,71300,676300,676704
"sparse_mixture",3,"block_eigen_ridge_fixed",1,3101,71300,677300,677401
"sparse_mixture",3,"block_eigen_ridge_fixed",2,3101,71300,677300,677502
"sparse_mixture",3,"block_eigen_ridge_fixed",3,3101,71300,677300,677603
"sparse_mixture",3,"block_eigen_ridge_fixed",4,3101,71300,677300,677704
"sparse_mixture",3,"block_eigen_unfiltered",1,3101,71300,675300,675401
"sparse_mixture",3,"block_eigen_unfiltered",2,3101,71300,675300,675502
"sparse_mixture",3,"block_eigen_unfiltered",3,3101,71300,675300,675603
"sparse_mixture",3,"block_eigen_unfiltered",4,3101,71300,675300,675704
"sparse_mixture",3,"full_csr",1,3101,71300,673300,673401
"sparse_mixture",3,"full_csr",2,3101,71300,673300,673502
"sparse_mixture",3,"full_csr",3,3101,71300,673300,673603
"sparse_mixture",3,"full_csr",4,3101,71300,673300,673704
"sparse_mixture",4,"bed",1,3101,71400,672400,672501
"sparse_mixture",4,"bed",2,3101,71400,672400,672602
"sparse_mixture",4,"bed",3,3101,71400,672400,672703
"sparse_mixture",4,"bed",4,3101,71400,672400,672804
"sparse_mixture",4,"block_csr",1,3101,71400,674400,674501
"sparse_mixture",4,"block_csr",2,3101,71400,674400,674602
"sparse_mixture",4,"block_csr",3,3101,71400,674400,674703
"sparse_mixture",4,"block_csr",4,3101,71400,674400,674804
"sparse_mixture",4,"block_eigen_hard",1,3101,71400,676400,676501
"sparse_mixture",4,"block_eigen_hard",2,3101,71400,676400,676602
"sparse_mixture",4,"block_eigen_hard",3,3101,71400,676400,676703
"sparse_mixture",4,"block_eigen_hard",4,3101,71400,676400,676804
"sparse_mixture",4,"block_eigen_ridge_fixed",1,3101,71400,677400,677501
"sparse_mixture",4,"block_eigen_ridge_fixed",2,3101,71400,677400,677602
"sparse_mixture",4,"block_eigen_ridge_fixed",3,3101,71400,677400,677703
"sparse_mixture",4,"block_eigen_ridge_fixed",4,3101,71400,677400,677804
"sparse_mixture",4,"block_eigen_unfiltered",1,3101,71400,675400,675501
"sparse_mixture",4,"block_eigen_unfiltered",2,3101,71400,675400,675602
"sparse_mixture",4,"block_eigen_unfiltered",3,3101,71400,675400,675703
"sparse_mixture",4,"block_eigen_unfiltered",4,3101,71400,675400,675804
"sparse_mixture",4,"full_csr",1,3101,71400,673400,673501
"sparse_mixture",4,"full_csr",2,3101,71400,673400,673602
"sparse_mixture",4,"full_csr",3,3101,71400,673400,673703
"sparse_mixture",4,"full_csr",4,3101,71400,673400,673804
"sparse_mixture",5,"bed",1,3101,71500,672500,672601
"sparse_mixture",5,"bed",2,3101,71500,672500,672702
"sparse_mixture",5,"bed",3,3101,71500,672500,672803
"sparse_mixture",5,"bed",4,3101,71500,672500,672904
"sparse_mixture",5,"block_csr",1,3101,71500,674500,674601
"sparse_mixture",5,"block_csr",2,3101,71500,674500,674702
"sparse_mixture",5,"block_csr",3,3101,71500,674500,674803
"sparse_mixture",5,"block_csr",4,3101,71500,674500,674904
"sparse_mixture",5,"block_eigen_hard",1,3101,71500,676500,676601
"sparse_mixture",5,"block_eigen_hard",2,3101,71500,676500,676702
"sparse_mixture",5,"block_eigen_hard",3,3101,71500,676500,676803
"sparse_mixture",5,"block_eigen_hard",4,3101,71500,676500,676904
"sparse_mixture",5,"block_eigen_ridge_fixed",1,3101,71500,677500,677601
"sparse_mixture",5,"block_eigen_ridge_fixed",2,3101,71500,677500,677702
"sparse_mixture",5,"block_eigen_ridge_fixed",3,3101,71500,677500,677803
"sparse_mixture",5,"block_eigen_ridge_fixed",4,3101,71500,677500,677904
"sparse_mixture",5,"block_eigen_unfiltered",1,3101,71500,675500,675601
"sparse_mixture",5,"block_eigen_unfiltered",2,3101,71500,675500,675702
"sparse_mixture",5,"block_eigen_unfiltered",3,3101,71500,675500,675803
"sparse_mixture",5,"block_eigen_unfiltered",4,3101,71500,675500,675904
"sparse_mixture",5,"full_csr",1,3101,71500,673500,673601
"sparse_mixture",5,"full_csr",2,3101,71500,673500,673702
"sparse_mixture",5,"full_csr",3,3101,71500,673500,673803
"sparse_mixture",5,"full_csr",4,3101,71500,673500,673904
