"architecture","replicate","configuration","method","preprocessing_time","summary_statistic_time","ld_construction_time","model_fitting_time","prediction_time","metric_generation_time","total_time","output_size_bytes","memory_bytes_estimate","warnings","failures"
"sparse_homogeneous",5,"block_eigen_unfiltered","sbayesc",0.199999999999989,0,0.199999999999989,146.34,,,146.34,76929288,16160784,"",""
"sparse_homogeneous",5,"full_csr","sbayesc",0.199999999999989,0,0.199999999999989,9.27000000000044,,,9.27000000000044,76919944,16160784,"",""
"sparse_mixture",1,"bed","bayesr",0.199999999999989,0,0.199999999999989,414.18,,,414.18,128954944,21954528,"",""
"sparse_mixture",1,"block_csr","sbayesr",0.199999999999989,0,0.199999999999989,60.4899999999998,,,60.4899999999998,128940328,16958784,"",""
"sparse_mixture",1,"block_eigen_hard","sbayesr",0.199999999999989,0,0.199999999999989,226.549999999999,,,226.549999999999,128949632,16958784,"",""
"sparse_mixture",1,"block_eigen_ridge_fixed","sbayesr",0.199999999999989,0,0.199999999999989,205.059999999999,,,205.059999999999,128949632,16958784,"",""
"sparse_mixture",1,"block_eigen_unfiltered","sbayesr",0.199999999999989,0,0.199999999999989,254.65,,,254.65,130749632,17228784,"",""
"sparse_mixture",1,"full_csr","sbayesr",0.199999999999989,0,0.199999999999989,57.5,,,57.5,128940328,16958784,"",""
"sparse_mixture",2,"bed","bayesr",0.199999999999989,0,0.199999999999989,413.06,,,413.06,128954944,21954528,"",""
"sparse_mixture",2,"block_csr","sbayesr",0.199999999999989,0,0.199999999999989,62.9699999999993,,,62.9699999999993,128940328,16958784,"",""
"sparse_mixture",2,"block_eigen_hard","sbayesr",0.199999999999989,0,0.199999999999989,247.219999999999,,,247.219999999999,128949632,16958784,"",""
"sparse_mixture",2,"block_eigen_ridge_fixed","sbayesr",0.199999999999989,0,0.199999999999989,218.63,,,218.63,128949632,16958784,"",""
"sparse_mixture",2,"block_eigen_unfiltered","sbayesr",0.199999999999989,0,0.199999999999989,259.39,,,259.39,130749632,17228784,"",""
"sparse_mixture",2,"full_csr","sbayesr",0.199999999999989,0,0.199999999999989,51.8699999999999,,,51.8699999999999,128940448,16958784,"",""
"sparse_mixture",3,"bed","bayesr",0.199999999999989,0,0.199999999999989,416.219999999999,,,416.219999999999,128954944,21954528,"",""
"sparse_mixture",3,"block_csr","sbayesr",0.199999999999989,0,0.199999999999989,54.4699999999993,,,54.4699999999993,128940328,16958784,"",""
"sparse_mixture",3,"block_eigen_hard","sbayesr",0.199999999999989,0,0.199999999999989,244.93,,,244.93,128949632,16958784,"",""
"sparse_mixture",3,"block_eigen_ridge_fixed","sbayesr",0.199999999999989,0,0.199999999999989,208.310000000001,,,208.310000000001,128949632,16958784,"",""
"sparse_mixture",3,"block_eigen_unfiltered","sbayesr",0.199999999999989,0,0.199999999999989,251.84,,,251.84,130749632,17228784,"",""
"sparse_mixture",3,"full_csr","sbayesr",0.199999999999989,0,0.199999999999989,57.5100000000002,,,57.5100000000002,128940328,16958784,"",""
"sparse_mixture",4,"bed","bayesr",0.199999999999989,0,0.199999999999989,423.42,,,423.42,128954944,21954528,"",""
"sparse_mixture",4,"block_csr","sbayesr",0.199999999999989,0,0.199999999999989,59.3400000000001,,,59.3400000000001,128940328,16958784,"",""
"sparse_mixture",4,"block_eigen_hard","sbayesr",0.199999999999989,0,0.199999999999989,225.799999999999,,,225.799999999999,128949632,16958784,"",""
"sparse_mixture",4,"block_eigen_ridge_fixed","sbayesr",0.199999999999989,0,0.199999999999989,217.950000000001,,,217.950000000001,128949632,16958784,"",""
"sparse_mixture",4,"block_eigen_unfiltered","sbayesr",0.199999999999989,0,0.199999999999989,268.309999999999,,,268.309999999999,130749632,17228784,"",""
"sparse_mixture",4,"full_csr","sbayesr",0.199999999999989,0,0.199999999999989,56.9400000000005,,,56.9400000000005,128940328,16958784,"",""
"sparse_mixture",5,"bed","bayesr",0.199999999999989,0,0.199999999999989,422.27,,,422.27,128954944,21954528,"",""
"sparse_mixture",5,"block_csr","sbayesr",0.199999999999989,0,0.199999999999989,61.8100000000013,,,61.8100000000013,128940328,16958784,"",""
"sparse_mixture",5,"block_eigen_hard","sbayesr",0.199999999999989,0,0.199999999999989,231.01,,,231.01,128949752,16958784,"",""
"sparse_mixture",5,"block_eigen_ridge_fixed","sbayesr",0.199999999999989,0,0.199999999999989,263.190000000001,,,263.190000000001,128949632,16958784,"",""
"sparse_mixture",5,"block_eigen_unfiltered","sbayesr",0.199999999999989,0,0.199999999999989,261.390000000001,,,261.390000000001,130749632,17228784,"",""
"sparse_mixture",5,"full_csr","sbayesr",0.199999999999989,0,0.199999999999989,56.9799999999996,,,56.9799999999996,128940328,16958784,"",""
