"architecture","replicate","configuration","method","mcmc_runtime_seconds","seconds_per_retained_draw","fit_object_bytes","checkpoint_bytes","immutable_operator_bytes","per_chain_state_bytes","operator_construction_seconds","warnings"
"sparse_mixture",2,"bed","bayesr",540.19,0.1350475,128954720,94308003,,,,""
"sparse_mixture",2,"block_csr","sbayesr",106.27,0.0265674999999999,128940328,93635363,,,,""
"sparse_mixture",2,"full_csr","sbayesr",179.33,0.02241625,131572328,95427359,,,,""
"sparse_mixture",2,"low_rank_0995","sbayesr",500.09,0.1250225,129570224,94034449,149794756,297848,287.5905322,""
"sparse_mixture",2,"low_rank_0999","sbayesr",312.29,0.0780725,128970224,93674449,152231044,302712,147.1492659,""
"sparse_mixture",2,"low_rank_full","sbayesr",452.78,0.113195,128970224,93674449,152840116,303928,283.4760674,""
"sparse_mixture",3,"bed","bayesr",619.030000000001,0.1547575,128954840,94308228,,,,""
"sparse_mixture",3,"block_csr","sbayesr",61.8899999999994,0.0154724999999999,128940328,93635363,,,,""
"sparse_mixture",3,"full_csr","sbayesr",174.69,0.02183625,131572328,95427359,,,,""
"sparse_mixture",3,"low_rank_0995","sbayesr",527.73,0.1319325,129570224,94034449,149794756,297848,278.5722743,""
"sparse_mixture",3,"low_rank_0999","sbayesr",204.73,0.0511825000000001,128970224,93674449,152231044,302712,107.4017183,""
"sparse_mixture",3,"low_rank_full","sbayesr",297.25,0.0743125,128970224,93674449,152840116,303928,197.653392,""
"sparse_mixture",4,"bed","bayesr",670.25,0.1675625,128954720,94308003,,,,""
"sparse_mixture",4,"block_csr","sbayesr",99.3200000000015,0.0248300000000004,128940328,93635363,,,,""
"sparse_mixture",4,"full_csr","sbayesr",177.11,0.02213875,131572328,95427359,,,,""
"sparse_mixture",4,"low_rank_0995","sbayesr",430.519999999999,0.10763,129570224,94034449,149794756,297848,224.9413777,""
"sparse_mixture",4,"low_rank_0999","sbayesr",395.76,0.0989400000000001,128970224,93674449,152231044,302712,224.6467217,""
"sparse_mixture",4,"low_rank_full","sbayesr",395.52,0.0988800000000001,128970224,93674449,152840116,303928,223.6657754,""
"sparse_mixture",5,"bed","bayesr",670.15,0.1675375,128954840,94308228,,,,""
"sparse_mixture",5,"block_csr","sbayesr",100.07,0.0250174999999999,128940328,93635363,,,,""
"sparse_mixture",5,"full_csr","sbayesr",174.45,0.02180625,131572328,95427359,,,,""
"sparse_mixture",5,"low_rank_0995","sbayesr",428.92,0.10723,129570224,94034449,149794756,297848,224.7118507,""
"sparse_mixture",5,"low_rank_0999","sbayesr",394.360000000001,0.0985900000000001,128970224,93674449,152231044,302712,223.2315559,""
"sparse_mixture",5,"low_rank_full","sbayesr",411.179999999998,0.102795,128970344,93674674,152840116,303928,240.2459472,""
