"replicate","focal_value","reference_value","complete_pair","difference","architecture","metric","comparison_id","orientation","interpretation_level"
1,0.00110502487431234,0.00111402700639625,TRUE,-9.00213208391469e-06,"sparse_homogeneous","nonnull_probability_mean","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.00110549867073781,0.00111402700639625,TRUE,-8.52833565844553e-06,"sparse_homogeneous","nonnull_probability_mean","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.00110836777131426,0.000539864704798505,TRUE,0.000568503066515754,"sparse_homogeneous","nonnull_probability_mean","full_csr_minus_bed","full_csr minus bed",4
1,0.00111402700639625,0.00110005001184491,TRUE,1.39769945513412e-05,"sparse_homogeneous","nonnull_probability_mean","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.00128777136840201,0.00129577436597753,TRUE,-8.00299757551938e-06,"sparse_homogeneous","marker_effect_rmse","full_csr_minus_bed","full_csr minus bed",4
1,0.00130743248626798,0.00128777136840201,TRUE,1.96611178659692e-05,"sparse_homogeneous","marker_effect_rmse","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.00130865136715458,0.00131021610617766,TRUE,-1.56473902307485e-06,"sparse_homogeneous","marker_effect_rmse","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.00131021610617766,0.00130743248626798,TRUE,2.78361990967927e-06,"sparse_homogeneous","marker_effect_rmse","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.00131770300318961,0.00128777136840201,TRUE,2.9931634787602e-05,"sparse_homogeneous","marker_effect_rmse","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.00131770300318961,0.00130865136715458,TRUE,9.0516360350284e-06,"sparse_homogeneous","marker_effect_rmse","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.00131770300318961,0.00131021610617766,TRUE,7.48689701195356e-06,"sparse_homogeneous","marker_effect_rmse","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.00137142490563386,0.00121419096318655,TRUE,0.000157233942447311,"sparse_mixture","marker_effect_rmse","full_csr_minus_bed","full_csr minus bed",4
1,0.00137595983725324,0.00137142490563386,TRUE,4.53493161937306e-06,"sparse_mixture","marker_effect_rmse","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.00137595983725324,0.00137914193968849,TRUE,-3.18210243525083e-06,"sparse_mixture","marker_effect_rmse","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.00137595983725324,0.00138265707322066,TRUE,-6.69723596742264e-06,"sparse_mixture","marker_effect_rmse","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.00137914193968849,0.00138265707322066,TRUE,-3.51513353217181e-06,"sparse_mixture","marker_effect_rmse","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.00137930311270141,0.00137142490563386,TRUE,7.87820706754628e-06,"sparse_mixture","marker_effect_rmse","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.00138265707322066,0.00137930311270141,TRUE,3.35396051924942e-06,"sparse_mixture","marker_effect_rmse","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.00918912258506629,0.00919797185103187,TRUE,-8.8492659655777e-06,"sparse_mixture","pip_null_mean","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.00919077646872777,0.00919542183917133,TRUE,-4.64537044355708e-06,"sparse_mixture","pip_null_mean","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.00919542183917133,0.00808962599826047,TRUE,0.00110579584091086,"sparse_mixture","pip_null_mean","full_csr_minus_bed","full_csr minus bed",4
1,0.00919589625998261,0.00918912258506629,TRUE,6.77367491631713e-06,"sparse_mixture","pip_null_mean","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.00919589625998261,0.00919542183917133,TRUE,4.74420811285431e-07,"sparse_mixture","pip_null_mean","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.00919589625998261,0.00919797185103187,TRUE,-2.07559104926057e-06,"sparse_mixture","pip_null_mean","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.00919797185103187,0.00919077646872777,TRUE,7.19538230410308e-06,"sparse_mixture","pip_null_mean","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.00942710773604276,0.00943644547392804,TRUE,-9.33773788528922e-06,"sparse_mixture","nonnull_probability_mean","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.00942854228633098,0.00943354676107497,TRUE,-5.00447474399181e-06,"sparse_mixture","nonnull_probability_mean","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.00943354676107497,0.00829591877023506,TRUE,0.00113762799083991,"sparse_mixture","nonnull_probability_mean","full_csr_minus_bed","full_csr minus bed",4
1,0.00943491221605118,0.00942710773604276,TRUE,7.80448000842204e-06,"sparse_mixture","nonnull_probability_mean","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.00943491221605118,0.00943354676107497,TRUE,1.36545497620398e-06,"sparse_mixture","nonnull_probability_mean","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.00943491221605118,0.00943644547392804,TRUE,-1.53325787686717e-06,"sparse_mixture","nonnull_probability_mean","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.00943644547392804,0.00942854228633098,TRUE,7.90318759706296e-06,"sparse_mixture","nonnull_probability_mean","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.18985,0.1901275,TRUE,-0.000277499999999958,"sparse_mixture","pip_causal_mean","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.190015,0.190395,TRUE,-0.000379999999999991,"sparse_mixture","pip_causal_mean","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.1901275,0.164835,TRUE,0.0252925,"sparse_mixture","pip_causal_mean","full_csr_minus_bed","full_csr minus bed",4
1,0.190395,0.18985,TRUE,0.00054499999999999,"sparse_mixture","pip_causal_mean","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.190805,0.190015,TRUE,0.000789999999999985,"sparse_mixture","pip_causal_mean","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.190805,0.1901275,TRUE,0.000677500000000025,"sparse_mixture","pip_causal_mean","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.190805,0.190395,TRUE,0.000409999999999994,"sparse_mixture","pip_causal_mean","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.201102120320106,0.201822390495524,TRUE,-0.00072027017541848,"sparse_mixture","pip_auprc","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.201822390495524,0.202126865183675,TRUE,-0.000304474688150536,"sparse_mixture","pip_auprc","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.202126865183675,0.203260966747309,TRUE,-0.00113410156363425,"sparse_mixture","pip_auprc","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.203260966747309,0.238080717974684,TRUE,-0.0348197512273754,"sparse_mixture","pip_auprc","full_csr_minus_bed","full_csr minus bed",4
1,0.206472824457141,0.201102120320106,TRUE,0.00537070413703553,"sparse_mixture","pip_auprc","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.206472824457141,0.201822390495524,TRUE,0.00465043396161705,"sparse_mixture","pip_auprc","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.206472824457141,0.203260966747309,TRUE,0.00321185770983226,"sparse_mixture","pip_auprc","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.250778752233027,0.253934603981501,TRUE,-0.00315585174847327,"sparse_homogeneous","genetic_value_rmse","full_csr_minus_bed","full_csr minus bed",4
1,0.254671923428711,0.250778752233027,TRUE,0.00389317119568383,"sparse_homogeneous","genetic_value_rmse","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.254828276264957,0.255234027888075,TRUE,-0.000405751623118011,"sparse_homogeneous","genetic_value_rmse","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.255234027888075,0.254671923428711,TRUE,0.000562104459363499,"sparse_homogeneous","genetic_value_rmse","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.256156145706875,0.250778752233027,TRUE,0.00537739347384769,"sparse_homogeneous","genetic_value_rmse","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.256156145706875,0.254828276264957,TRUE,0.00132786944191837,"sparse_homogeneous","genetic_value_rmse","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.256156145706875,0.255234027888075,TRUE,0.000922117818800361,"sparse_homogeneous","genetic_value_rmse","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.277727324538292,0.24172843118392,TRUE,0.0359988933543721,"sparse_mixture","genetic_value_rmse","full_csr_minus_bed","full_csr minus bed",4
1,0.27800730764773,0.27904341388523,TRUE,-0.00103610623749939,"sparse_mixture","genetic_value_rmse","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.278049573041607,0.277727324538292,TRUE,0.000322248503314859,"sparse_mixture","genetic_value_rmse","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.278049573041607,0.27800730764773,TRUE,4.22653938763062e-05,"sparse_mixture","genetic_value_rmse","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.278049573041607,0.27904341388523,TRUE,-0.000993840843623084,"sparse_mixture","genetic_value_rmse","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.278616226388776,0.277727324538292,TRUE,0.000888901850483959,"sparse_mixture","genetic_value_rmse","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.27904341388523,0.278616226388776,TRUE,0.000427187496453985,"sparse_mixture","genetic_value_rmse","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.35326,0.3561,TRUE,-0.00283999999999995,"sparse_homogeneous","pip_causal_mean","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.35326,0.3567,TRUE,-0.00344,"sparse_homogeneous","pip_causal_mean","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.35326,0.3594,TRUE,-0.00613999999999998,"sparse_homogeneous","pip_causal_mean","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.35596,0.3594,TRUE,-0.00344,"sparse_homogeneous","pip_causal_mean","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.3561,0.35596,TRUE,0.000139999999999973,"sparse_homogeneous","pip_causal_mean","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.3567,0.3561,TRUE,0.000600000000000045,"sparse_homogeneous","pip_causal_mean","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.3594,0.3337,TRUE,0.0257,"sparse_homogeneous","pip_causal_mean","full_csr_minus_bed","full_csr minus bed",4
1,0.440551379508073,0.442620715860529,TRUE,-0.00206933635245632,"sparse_homogeneous","pip_auprc","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.440551379508073,0.44591977140297,TRUE,-0.00536839189489735,"sparse_homogeneous","pip_auprc","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.440551379508073,0.453568174443153,TRUE,-0.0130167949350802,"sparse_homogeneous","pip_auprc","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.442620715860529,0.444205715332647,TRUE,-0.00158499947211826,"sparse_homogeneous","pip_auprc","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.444205715332647,0.453568174443153,TRUE,-0.00936245911050559,"sparse_homogeneous","pip_auprc","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.44591977140297,0.442620715860529,TRUE,0.00329905554244103,"sparse_homogeneous","pip_auprc","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.453568174443153,0.471584331564093,TRUE,-0.0180161571209405,"sparse_homogeneous","pip_auprc","full_csr_minus_bed","full_csr minus bed",4
1,0.498814531920252,0.499216359966894,TRUE,-0.000401828046641739,"sparse_mixture","phenotype_prediction_correlation","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.499216359966894,0.499907477679074,TRUE,-0.000691117712180001,"sparse_mixture","phenotype_prediction_correlation","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.499496791193548,0.498814531920252,TRUE,0.000682259273296348,"sparse_mixture","phenotype_prediction_correlation","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.499907477679074,0.518964043438209,TRUE,-0.0190565657591352,"sparse_mixture","phenotype_prediction_correlation","full_csr_minus_bed","full_csr minus bed",4
1,0.500175198316079,0.498814531920252,TRUE,0.00136066639582705,"sparse_mixture","phenotype_prediction_correlation","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.500175198316079,0.499496791193548,TRUE,0.0006784071225307,"sparse_mixture","phenotype_prediction_correlation","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.500175198316079,0.499907477679074,TRUE,0.000267720637005309,"sparse_mixture","phenotype_prediction_correlation","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.519546887548712,0.519883464023892,TRUE,-0.000336576475179262,"sparse_homogeneous","phenotype_prediction_correlation","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.519753556732325,0.519546887548712,TRUE,0.000206669183612562,"sparse_homogeneous","phenotype_prediction_correlation","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.519883464023892,0.520953571091519,TRUE,-0.001070107067627,"sparse_homogeneous","phenotype_prediction_correlation","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.520087654855524,0.519546887548712,TRUE,0.000540767306812184,"sparse_homogeneous","phenotype_prediction_correlation","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.520087654855524,0.519753556732325,TRUE,0.000334098123199622,"sparse_homogeneous","phenotype_prediction_correlation","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.520087654855524,0.520953571091519,TRUE,-0.00086591623599408,"sparse_homogeneous","phenotype_prediction_correlation","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.520953571091519,0.521934805077949,TRUE,-0.000981233986430685,"sparse_homogeneous","phenotype_prediction_correlation","full_csr_minus_bed","full_csr minus bed",4
1,0.733781397432856,0.713916607364065,TRUE,0.019864790068791,"sparse_mixture","pip_auroc","full_csr_minus_bed","full_csr minus bed",4
1,0.747640547165336,0.760216915737593,TRUE,-0.0125763685722569,"sparse_mixture","pip_auroc","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.75291637015366,0.733781397432856,TRUE,0.0191349727208033,"sparse_mixture","pip_auroc","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.760216915737593,0.75291637015366,TRUE,0.00730054558393289,"sparse_mixture","pip_auroc","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.79606784217601,0.855459265702011,TRUE,-0.0593914235260009,"sparse_homogeneous","pip_auroc","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.797229646029361,0.79606784217601,TRUE,0.0011618038533513,"sparse_homogeneous","pip_auroc","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.804708099417517,0.733781397432856,TRUE,0.0709267019846603,"sparse_mixture","pip_auroc","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.804708099417517,0.747640547165336,TRUE,0.057067552252181,"sparse_mixture","pip_auroc","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.804708099417517,0.760216915737593,TRUE,0.0444911836799241,"sparse_mixture","pip_auroc","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.806092617485043,0.797229646029361,TRUE,0.00886297145568116,"sparse_homogeneous","pip_auroc","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.823406604991961,0.797229646029361,TRUE,0.0261769589625998,"sparse_homogeneous","pip_auroc","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.823406604991961,0.806092617485043,TRUE,0.0173139875069186,"sparse_homogeneous","pip_auroc","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.823406604991961,0.855459265702011,TRUE,-0.0320526607100499,"sparse_homogeneous","pip_auroc","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.855459265702011,0.8082986742574,TRUE,0.0471605914446114,"sparse_homogeneous","pip_auroc","full_csr_minus_bed","full_csr minus bed",4
1,0.905845519855603,0.906407951090425,TRUE,-0.000562431234821803,"sparse_mixture","genetic_value_reconstruction_correlation","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.906407951090425,0.907298993166649,TRUE,-0.000891042076224036,"sparse_mixture","genetic_value_reconstruction_correlation","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.90656759376173,0.905845519855603,TRUE,0.000722073906126663,"sparse_mixture","genetic_value_reconstruction_correlation","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.907266984150507,0.905845519855603,TRUE,0.00142146429490353,"sparse_mixture","genetic_value_reconstruction_correlation","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.907266984150507,0.90656759376173,TRUE,0.000699390388776866,"sparse_mixture","genetic_value_reconstruction_correlation","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.907266984150507,0.907298993166649,TRUE,-3.20090161423092e-05,"sparse_mixture","genetic_value_reconstruction_correlation","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.907298993166649,0.943660527554471,TRUE,-0.0363615343878217,"sparse_mixture","genetic_value_reconstruction_correlation","full_csr_minus_bed","full_csr minus bed",4
1,0.910863344102041,0.911241022371727,TRUE,-0.000377678269685822,"sparse_mixture","genetic_value_correlation","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.911241022371727,0.912034409531981,TRUE,-0.000793387160253789,"sparse_mixture","genetic_value_correlation","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.911706734538782,0.910863344102041,TRUE,0.000843390436740865,"sparse_mixture","genetic_value_correlation","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.911755202317135,0.910863344102041,TRUE,0.000891858215094077,"sparse_mixture","genetic_value_correlation","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.911755202317135,0.911706734538782,TRUE,4.84677783532117e-05,"sparse_mixture","genetic_value_correlation","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.911755202317135,0.912034409531981,TRUE,-0.000279207214845534,"sparse_mixture","genetic_value_correlation","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.912034409531981,0.944198942874294,TRUE,-0.0321645333423137,"sparse_mixture","genetic_value_correlation","full_csr_minus_bed","full_csr minus bed",4
1,0.915093734700448,0.915627817040988,TRUE,-0.00053408234054042,"sparse_mixture","marker_effect_correlation","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.915627817040988,0.916820848734417,TRUE,-0.00119303169342933,"sparse_mixture","marker_effect_correlation","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.915648816567464,0.915093734700448,TRUE,0.00055508186701636,"sparse_mixture","marker_effect_correlation","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.916277751214007,0.915093734700448,TRUE,0.0011840165135597,"sparse_mixture","marker_effect_correlation","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.916277751214007,0.915648816567464,TRUE,0.000628934646543344,"sparse_mixture","marker_effect_correlation","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.916277751214007,0.916820848734417,TRUE,-0.000543097520410041,"sparse_mixture","marker_effect_correlation","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.916820848734417,0.944918339653835,TRUE,-0.0280974909194174,"sparse_mixture","marker_effect_correlation","full_csr_minus_bed","full_csr minus bed",4
1,0.919579968155446,0.920540346019919,TRUE,-0.000960377864472783,"sparse_homogeneous","marker_effect_correlation","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.919579968155446,0.920715570475458,TRUE,-0.00113560232001186,"sparse_homogeneous","marker_effect_correlation","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.919579968155446,0.923417206108352,TRUE,-0.00383723795290658,"sparse_homogeneous","marker_effect_correlation","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.920540346019919,0.920866192391643,TRUE,-0.000325846371724059,"sparse_homogeneous","marker_effect_correlation","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.920715570475458,0.920540346019919,TRUE,0.00017522445553908,"sparse_homogeneous","marker_effect_correlation","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.920866192391643,0.923417206108352,TRUE,-0.00255101371670974,"sparse_homogeneous","marker_effect_correlation","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.92137865559981,0.922202708335754,TRUE,-0.000824052735943992,"sparse_homogeneous","genetic_value_reconstruction_correlation","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.92137865559981,0.922291367496145,TRUE,-0.000912711896335683,"sparse_homogeneous","genetic_value_reconstruction_correlation","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.92137865559981,0.925154378087014,TRUE,-0.00377572248720448,"sparse_homogeneous","genetic_value_reconstruction_correlation","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.921947978830624,0.922597768031996,TRUE,-0.000649789201372153,"sparse_homogeneous","genetic_value_correlation","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.921947978830624,0.922804239213939,TRUE,-0.000856260383314211,"sparse_homogeneous","genetic_value_correlation","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.921947978830624,0.92539817539882,TRUE,-0.00345019656819545,"sparse_homogeneous","genetic_value_correlation","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.922202708335754,0.922610419558783,TRUE,-0.000407711223029184,"sparse_homogeneous","genetic_value_reconstruction_correlation","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.922291367496145,0.922202708335754,TRUE,8.86591603916909e-05,"sparse_homogeneous","genetic_value_reconstruction_correlation","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.922597768031996,0.922864937044651,TRUE,-0.000267169012654445,"sparse_homogeneous","genetic_value_correlation","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
