"architecture","replicate","method","trait","simulation_seed","causal_selection_seed","mcmc_seed","sblr_version","qgg_version","sblrbench_commit","method_controls","runtime","convergence_status","status","reason"
"separated",4,"st_bed_bayesr","D1",3005,2005,10402,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10402,""convergence"":""core"",""verbose"":false}",69.6800000000001,"reported","ok",""
"separated",4,"st_csr_sbayesc","D1",3005,2005,10403,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10403,""convergence"":""core"",""verbose"":false}",23.1700000000001,"reported","ok",""
"separated",4,"st_csr_sbayesr","D1",3005,2005,10404,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10404,""convergence"":""core"",""verbose"":false}",59.3500000000001,"reported","ok",""
"separated",5,"st_bed_bayesc","D1",3006,2006,10501,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10501,""convergence"":""core"",""verbose"":false}",62,"reported","ok",""
"separated",5,"st_bed_bayesr","D1",3006,2006,10502,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10502,""convergence"":""core"",""verbose"":false}",26.25,"reported","ok",""
"separated",5,"st_csr_sbayesc","D1",3006,2006,10503,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10503,""convergence"":""core"",""verbose"":false}",5,"reported","ok",""
"separated",5,"st_csr_sbayesr","D1",3006,2006,10504,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10504,""convergence"":""core"",""verbose"":false}",12.22,"reported","ok",""
"separated",6,"st_bed_bayesc","D1",3007,2007,10601,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10601,""convergence"":""core"",""verbose"":false}",18.62,"reported","ok",""
"separated",6,"st_bed_bayesr","D1",3007,2007,10602,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10602,""convergence"":""core"",""verbose"":false}",25.24,"reported","ok",""
"separated",6,"st_csr_sbayesc","D1",3007,2007,10603,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10603,""convergence"":""core"",""verbose"":false}",5.25,"reported","ok",""
"separated",6,"st_csr_sbayesr","D1",3007,2007,10604,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10604,""convergence"":""core"",""verbose"":false}",11.96,"reported","ok",""
"separated",7,"st_bed_bayesc","D1",3008,2008,10701,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10701,""convergence"":""core"",""verbose"":false}",17.78,"reported","ok",""
"separated",7,"st_bed_bayesr","D1",3008,2008,10702,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10702,""convergence"":""core"",""verbose"":false}",24.5,"reported","ok",""
"separated",7,"st_csr_sbayesc","D1",3008,2008,10703,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10703,""convergence"":""core"",""verbose"":false}",4.88,"reported","ok",""
"separated",7,"st_csr_sbayesr","D1",3008,2008,10704,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10704,""convergence"":""core"",""verbose"":false}",12.2,"reported","ok",""
"separated",8,"st_bed_bayesc","D1",3009,2009,10801,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10801,""convergence"":""core"",""verbose"":false}",18.48,"reported","ok",""
"separated",8,"st_bed_bayesr","D1",3009,2009,10802,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10802,""convergence"":""core"",""verbose"":false}",91.5100000000001,"reported","ok",""
"separated",8,"st_csr_sbayesc","D1",3009,2009,10803,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10803,""convergence"":""core"",""verbose"":false}",4.95999999999992,"reported","ok",""
"separated",8,"st_csr_sbayesr","D1",3009,2009,10804,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10804,""convergence"":""core"",""verbose"":false}",12.3000000000001,"reported","ok",""
"separated",9,"st_bed_bayesc","D1",3010,2010,10901,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10901,""convergence"":""core"",""verbose"":false}",18.1900000000001,"reported","ok",""
"separated",9,"st_bed_bayesr","D1",3010,2010,10902,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10902,""convergence"":""core"",""verbose"":false}",24.25,"reported","ok",""
"separated",9,"st_csr_sbayesc","D1",3010,2010,10903,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10903,""convergence"":""core"",""verbose"":false}",5.03999999999996,"reported","ok",""
"separated",9,"st_csr_sbayesr","D1",3010,2010,10904,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10904,""convergence"":""core"",""verbose"":false}",11.99,"reported","ok",""
"separated",10,"st_bed_bayesc","D1",3011,2011,11001,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":11001,""convergence"":""core"",""verbose"":false}",18.5799999999999,"reported","ok",""
"separated",10,"st_bed_bayesr","D1",3011,2011,11002,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":11002,""convergence"":""core"",""verbose"":false}",24.9400000000001,"reported","ok",""
"separated",10,"st_csr_sbayesc","D1",3011,2011,11003,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":11003,""convergence"":""core"",""verbose"":false}",5.20000000000005,"reported","ok",""
"separated",10,"st_csr_sbayesr","D1",3011,2011,11004,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":11004,""convergence"":""core"",""verbose"":false}",12.22,"reported","ok",""
