"variant","label","quantity","rhat","bulk_ess","tail_ess","mcse","relative_mcse"
"csr_sparse_ld","CSR hard sparse","vle",1.00067767338254,3937.84662058207,3807.61736586644,0.00034841519593861,0.0159486280205398
"block_eigen_full_rank","Block eigen full rank","active_probability",0.999720976910575,4006.36454678418,3891.22652696939,2.24735725619495e-06,0.0157733653435842
"block_eigen_retained","Block eigen retained 0.995","active_probability",1.0006478702358,3981.67139275296,3687.16021819539,2.2494491093085e-06,0.0158507288342512
"block_eigen_full_rank","Block eigen full rank","heritability",0.999729104552598,4057.8948935261,3927.72812174252,0.000185880250049044,0.0157134125967518
"block_eigen_retained","Block eigen retained 0.995","heritability",0.999806548316656,3902.12265259622,3850.39649976545,0.000185879133025988,0.0160330292629712
"block_eigen_full_rank","Block eigen full rank","pi_component_0",0.999720976910575,4006.36454678418,3891.22652696939,2.24735725619492e-06,0.015773365343584
"block_eigen_retained","Block eigen retained 0.995","pi_component_0",1.0006478702358,3981.67139275296,3687.16021819539,2.24944910930848e-06,0.015850728834251
"block_eigen_full_rank","Block eigen full rank","pi_component_1",1.00057795372221,3875.78252165681,3391.61550611305,1.30114603488787e-06,0.0160579317132773
"block_eigen_retained","Block eigen retained 0.995","pi_component_1",0.999769542242559,3751.96057016148,3931.41266626765,1.34353082104488e-06,0.0163426173238523
"block_eigen_full_rank","Block eigen full rank","pi_component_2",1.00111928824084,4236.2854516821,4002.11733645303,1.25886190640699e-06,0.0153777992665394
"block_eigen_retained","Block eigen retained 0.995","pi_component_2",1.00018142104598,3898.3543850205,3852.12389805007,1.29665462533487e-06,0.0160182436492542
"block_eigen_full_rank","Block eigen full rank","pi_component_3",1.00141014084535,4070.77150193521,3888.67034991935,1.29444052354724e-06,0.0156720733712487
"block_eigen_retained","Block eigen retained 0.995","pi_component_3",1.00042434390346,3819.82995766137,3780.06372232773,1.32983459396781e-06,0.0161912905166846
"block_eigen_full_rank","Block eigen full rank","vbs",1.00096694689459,971.676541538555,1567.78829385713,0.00190773557542663,0.0347387252778892
"block_eigen_retained","Block eigen retained 0.995","vbs",1.00263038036185,937.708268549899,1313.97487707211,0.00196409881413259,0.033823168364745
"block_eigen_full_rank","Block eigen full rank","ves",1.00071070473279,3785.71721277244,3933.08636078785,0.000324491641005517,0.0162642685827527
"block_eigen_retained","Block eigen retained 0.995","ves",1.0001123715153,4042.03422870938,4108.56541444191,0.000316875740766804,0.0157555440123239
"block_eigen_full_rank","Block eigen full rank","vgs",0.999573874404732,4205.22379112361,4077.39315184981,0.000334526121881816,0.0154140563443053
"block_eigen_retained","Block eigen retained 0.995","vgs",1.00000358354433,3848.420110947,4101.24575842382,0.000345488384788607,0.0160844620848289
"block_eigen_full_rank","Block eigen full rank","vld",1.00131149109347,4221.94094110804,4160.74392985163,9.51052601835362e-06,0.0154039820326227
"block_eigen_retained","Block eigen retained 0.995","vld",1.00037632008392,3877.82469713791,3516.6801769604,1.05958171072583e-05,0.0160300739861322
"block_eigen_full_rank","Block eigen full rank","vle",0.999552687265227,4201.87554330046,4137.03147421719,0.000334394511744195,0.0154136894765766
"block_eigen_retained","Block eigen retained 0.995","vle",0.999988744397087,3838.98836369289,4087.54514058275,0.000345992662775698,0.0160921693778897
