"architecture","configuration","nburn","nit","failed_estimands","maximum_rhat","minimum_bulk_ess","minimum_tail_ess","maximum_relative_mcse","limiting_estimand","pass"
"sparse_homogeneous","block_eigen_ridge_fixed",250,1000,0,1.00121469996263,2419.0609816487,3385.09285210887,0.0201426420113324,"global_nonnull_proportion",TRUE
"sparse_homogeneous","block_eigen_ridge_fixed",250,2000,0,1.00037812594289,4604.10082019413,6221.900019002,0.0146152214554371,"vld",TRUE
"sparse_homogeneous","block_eigen_ridge_fixed",500,250,0,1.00765781628189,646.960694918019,837.703502894203,0.0385596961698067,"vld",TRUE
"sparse_homogeneous","block_eigen_ridge_fixed",500,500,0,1.00238907182258,1169.96860984854,1587.60747025674,0.0285731815201014,"global_nonnull_proportion",TRUE
"sparse_homogeneous","block_eigen_ridge_fixed",500,1000,0,1.00089271746903,2424.41285607577,3317.00353660289,0.0200987180987,"vbs",TRUE
"sparse_homogeneous","block_eigen_ridge_fixed",500,2000,0,1.00103561852045,4570.73990338857,6420.31663264385,0.0146903422651445,"ves",TRUE
"sparse_homogeneous","block_eigen_ridge_fixed",1000,250,0,1.00415912503177,708.163527447391,847.887702767012,0.0380621574971896,"vbs",TRUE
"sparse_homogeneous","block_eigen_ridge_fixed",1000,500,0,1.00277090821627,1285.71603207885,1610.12808848177,0.0279429795206215,"vbs",TRUE
"sparse_homogeneous","block_eigen_ridge_fixed",1000,1000,0,1.00086131145065,2361.08408290294,2968.70744683874,0.0206411869246097,"vbs",TRUE
"sparse_homogeneous","block_eigen_ridge_fixed",1000,2000,0,1.00047847545461,4302.04741408834,6116.39427533,0.0151753134480722,"ves",TRUE
"sparse_homogeneous","block_eigen_unfiltered",250,250,0,1.00463350316588,557.597094939649,704.972700461907,0.0418226615529691,"ves",TRUE
"sparse_homogeneous","block_eigen_unfiltered",250,500,0,1.00171193229646,1138.57775990671,1418.99588211187,0.02909200292336,"vld",TRUE
"sparse_homogeneous","block_eigen_unfiltered",250,1000,0,1.00117294900328,2376.07532167269,3225.73694922234,0.0202701507246328,"ves",TRUE
"sparse_homogeneous","block_eigen_unfiltered",250,2000,0,1.00069527282786,4707.72304238853,6560.60714049046,0.014314590428191,"global_nonnull_proportion",TRUE
"sparse_homogeneous","block_eigen_unfiltered",500,250,0,1.00320831529114,611.738944409563,733.724025752713,0.0404077722322399,"ves",TRUE
"sparse_homogeneous","block_eigen_unfiltered",500,500,0,1.00174801330172,1193.60981197927,1660.2312999084,0.0288921086454865,"ves",TRUE
"sparse_homogeneous","block_eigen_unfiltered",500,1000,0,1.00118322108776,2391.87246898984,3425.33014273092,0.020319551552033,"ves",TRUE
"sparse_homogeneous","block_eigen_unfiltered",500,2000,0,1.00071898808985,4827.57920966853,6683.05282745344,0.0141810690804764,"ves",TRUE
"sparse_homogeneous","block_eigen_unfiltered",1000,250,0,1.0035259828139,665.318260309541,834.878673050087,0.0382361754176388,"ves",TRUE
"sparse_homogeneous","block_eigen_unfiltered",1000,500,0,1.00175551469932,1202.06972490812,1743.42770492912,0.0285311091996928,"ves",TRUE
"sparse_homogeneous","block_eigen_unfiltered",1000,1000,0,1.00140133271809,2432.28194269437,3425.22031906272,0.019867914827065,"ves",TRUE
"sparse_homogeneous","block_eigen_unfiltered",1000,2000,0,1.00072046595509,4879.69224428121,6780.6401105849,0.014079532612039,"heritability",TRUE
"sparse_mixture","block_csr",250,250,1,1.00740071569017,166.011508058872,331.091321099071,0.0779547423308512,"vbs",FALSE
"sparse_mixture","block_csr",250,500,1,1.01040275549302,276.21963809491,541.388552917971,0.0609313335366137,"vbs",FALSE
"sparse_mixture","block_csr",250,1000,0,1.00795555460381,473.714233608822,827.693759252583,0.0467700957831884,"vbs",TRUE
"sparse_mixture","block_csr",250,2000,0,1.0037138983167,921.722679366423,1771.051040705,0.03346191814201,"vbs",TRUE
"sparse_mixture","block_csr",500,250,1,1.02325003467334,116.996600441939,244.301949835389,0.0930074208163806,"vbs",FALSE
"sparse_mixture","block_csr",500,500,1,1.01070904944371,218.916822110188,357.387501275501,0.0686474422972817,"vbs",FALSE
"sparse_mixture","block_csr",500,1000,1,1.01578507416562,447.64206674041,909.787216032806,0.0476210217136649,"vbs",FALSE
"sparse_mixture","block_csr",500,2000,0,1.0043032185866,900.850985429493,1689.3527023283,0.0336570736597783,"vbs",TRUE
"sparse_mixture","block_csr",1000,250,1,1.04757956424981,104.03685195092,282.015976801585,0.0971127211577328,"vbs",FALSE
"sparse_mixture","block_csr",1000,500,1,1.03148188238861,213.214292749495,595.790631002544,0.0687634304707244,"vbs",FALSE
"sparse_mixture","block_csr",1000,1000,1,1.01638959433551,470.515409253833,1072.2141086562,0.0456548775288995,"vbs",FALSE
"sparse_mixture","block_csr",1000,2000,0,1.00536331795407,897.20376350236,1880.96069496838,0.0333722078404377,"vbs",TRUE
"sparse_mixture","block_eigen_hard",250,250,1,1.02940357890362,109.432022026009,230.665404396515,0.0952317192364261,"vbs",FALSE
"sparse_mixture","block_eigen_hard",250,500,1,1.014681098654,235.387902651871,497.266522823309,0.0656809688959865,"vbs",FALSE
"sparse_mixture","block_eigen_hard",250,1000,0,1.00561746490128,482.857814457359,916.476838779188,0.04604641573587,"vbs",TRUE
"sparse_mixture","block_eigen_hard",250,2000,0,1.00200039102675,934.162422208269,1678.01646942725,0.0330042905144628,"vbs",TRUE
"sparse_mixture","block_eigen_hard",500,250,1,1.02264384342235,133.645925077982,279.663702742079,0.0889045393000012,"vbs",FALSE
"sparse_mixture","block_eigen_hard",500,500,1,1.01042008649523,253.452191883981,537.137273599431,0.0647762485026274,"vbs",FALSE
"sparse_mixture","block_eigen_hard",500,1000,0,1.00412252066084,494.559703181189,883.809249104702,0.0457027617807339,"vbs",TRUE
"sparse_mixture","block_eigen_hard",500,2000,0,1.00329873860778,973.153602292901,1625.67952280543,0.0324405244472277,"vbs",TRUE
"sparse_mixture","block_eigen_hard",1000,250,1,1.0102479127293,123.25971468473,270.805095017087,0.0904371989608758,"vbs",FALSE
"sparse_mixture","block_eigen_hard",1000,500,1,1.01030716663793,234.225215347197,390.428577696281,0.0656008699032484,"vbs",FALSE
"sparse_mixture","block_eigen_hard",1000,1000,0,1.00266957482842,469.384608682219,807.012448409346,0.0465561947941011,"vbs",TRUE
"sparse_mixture","block_eigen_hard",1000,2000,0,1.00276387034587,969.522151498522,1693.01316198244,0.032232306173944,"vbs",TRUE
"sparse_mixture","block_eigen_ridge_fixed",250,250,1,1.0085400496812,117.220762596302,190.702993280254,0.0918478495118983,"vbs",FALSE
"sparse_mixture","block_eigen_ridge_fixed",250,500,1,1.01083906988204,206.515424308172,437.527154452836,0.0699728239914607,"vbs",FALSE
"sparse_mixture","block_eigen_ridge_fixed",250,1000,0,1.00156423926485,501.135307768794,910.073947698795,0.0449555428385556,"vbs",TRUE
"sparse_mixture","block_eigen_ridge_fixed",250,2000,0,1.00124479753641,1054.15997779623,2073.674532093,0.0308399256385499,"vbs",TRUE
"sparse_mixture","block_eigen_ridge_fixed",500,250,1,1.02456009105576,104.869112256074,254.933169678619,0.0990159749690721,"vbs",FALSE
"sparse_mixture","block_eigen_ridge_fixed",500,500,1,1.00534757267472,253.628936957369,433.346655493978,0.0635583793391458,"vbs",FALSE
"sparse_mixture","block_eigen_ridge_fixed",500,1000,0,1.00790411428727,567.881723510821,1079.42582562657,0.0424441511948318,"vbs",TRUE
"sparse_mixture","block_eigen_ridge_fixed",500,2000,0,1.00115892327118,1082.90929142261,2032.56931880959,0.0304951643792864,"vbs",TRUE
"sparse_mixture","block_eigen_ridge_fixed",1000,250,1,1.02234374369467,174.912207646117,362.842506703744,0.0748868795885573,"vbs",FALSE
"sparse_mixture","block_eigen_ridge_fixed",1000,500,1,1.01505205888637,335.924913907787,644.241318554908,0.0546983235894875,"vbs",FALSE
"sparse_mixture","block_eigen_ridge_fixed",1000,1000,0,1.00459034048328,622.577288411043,1141.07807962362,0.0402354407466754,"vbs",TRUE
"sparse_mixture","block_eigen_ridge_fixed",1000,2000,0,1.00359910790966,1171.30884894031,2291.6905572609,0.0291485411391738,"vbs",TRUE
"sparse_mixture","block_eigen_unfiltered",250,250,1,1.00523194395406,196.030416290414,322.315582536696,0.0715697118942032,"vbs",FALSE
"sparse_mixture","block_eigen_unfiltered",250,500,1,1.00880206169316,287.685287181123,503.766041060191,0.058708798256891,"vbs",FALSE
"sparse_mixture","block_eigen_unfiltered",250,1000,1,1.01046749483729,510.445132109286,1095.66255354544,0.0441093786673393,"vbs",FALSE
"sparse_mixture","block_eigen_unfiltered",250,2000,0,1.00294055211066,1054.80070447138,2238.74639191939,0.030823225152244,"vbs",TRUE
"sparse_mixture","block_eigen_unfiltered",500,250,1,1.0135824287397,131.299945802954,249.20209693058,0.0877507805479387,"vbs",FALSE
"sparse_mixture","block_eigen_unfiltered",500,500,1,1.03128780560165,222.613069543075,483.305985537486,0.0666295513424564,"vbs",FALSE
"sparse_mixture","block_eigen_unfiltered",500,1000,1,1.01346176208912,483.072893084613,1127.9978489078,0.0453293081690625,"vbs",FALSE
"sparse_mixture","block_eigen_unfiltered",500,2000,0,1.00467811422004,1021.35244957657,2188.97719997973,0.0313221415274783,"vbs",TRUE
"sparse_mixture","block_eigen_unfiltered",1000,250,1,1.03087120664616,135.859053784503,255.401437897796,0.0864032798190437,"vbs",FALSE
"sparse_mixture","block_eigen_unfiltered",1000,500,1,1.03115076535781,257.315250438519,617.901164933365,0.0619980754429456,"vbs",FALSE
"sparse_mixture","block_eigen_unfiltered",1000,1000,0,1.00929935809106,565.57814304163,1155.28128956954,0.0420669501286682,"vbs",TRUE
"sparse_mixture","block_eigen_unfiltered",1000,2000,0,1.00324778668746,1071.00325302041,2233.64507883574,0.0305809297137912,"vbs",TRUE
