"architecture","replicate","data_selection_seed","architecture_seed","simulation_seed","method","fit_seed","chain","chain_seed"
"sparse_homogeneous",3,3301,6001,6004,"st_bed_bayesc",30301,1,130301
"sparse_homogeneous",3,3301,6001,6004,"st_bed_bayesc",30301,2,230301
"sparse_homogeneous",3,3301,6001,6004,"st_bed_bayesc",30301,3,330301
"sparse_homogeneous",3,3301,6001,6004,"st_bed_bayesc",30301,4,430301
"sparse_homogeneous",3,3301,6001,6004,"st_bed_bayesr",30302,1,130302
"sparse_homogeneous",3,3301,6001,6004,"st_bed_bayesr",30302,2,230302
"sparse_homogeneous",3,3301,6001,6004,"st_bed_bayesr",30302,3,330302
"sparse_homogeneous",3,3301,6001,6004,"st_bed_bayesr",30302,4,430302
"sparse_homogeneous",3,3301,6001,6004,"st_csr_sbayesc",30303,1,130303
"sparse_homogeneous",3,3301,6001,6004,"st_csr_sbayesc",30303,2,230303
"sparse_homogeneous",3,3301,6001,6004,"st_csr_sbayesc",30303,3,330303
"sparse_homogeneous",3,3301,6001,6004,"st_csr_sbayesc",30303,4,430303
"sparse_homogeneous",3,3301,6001,6004,"st_csr_sbayesr",30304,1,130304
"sparse_homogeneous",3,3301,6001,6004,"st_csr_sbayesr",30304,2,230304
"sparse_homogeneous",3,3301,6001,6004,"st_csr_sbayesr",30304,3,330304
"sparse_homogeneous",3,3301,6001,6004,"st_csr_sbayesr",30304,4,430304
"sparse_homogeneous",4,3301,6001,6005,"st_bed_bayesc",30401,1,130401
"sparse_homogeneous",4,3301,6001,6005,"st_bed_bayesc",30401,2,230401
"sparse_homogeneous",4,3301,6001,6005,"st_bed_bayesc",30401,3,330401
"sparse_homogeneous",4,3301,6001,6005,"st_bed_bayesc",30401,4,430401
"sparse_homogeneous",4,3301,6001,6005,"st_bed_bayesr",30402,1,130402
"sparse_homogeneous",4,3301,6001,6005,"st_bed_bayesr",30402,2,230402
"sparse_homogeneous",4,3301,6001,6005,"st_bed_bayesr",30402,3,330402
"sparse_homogeneous",4,3301,6001,6005,"st_bed_bayesr",30402,4,430402
"sparse_homogeneous",4,3301,6001,6005,"st_csr_sbayesc",30403,1,130403
"sparse_homogeneous",4,3301,6001,6005,"st_csr_sbayesc",30403,2,230403
"sparse_homogeneous",4,3301,6001,6005,"st_csr_sbayesc",30403,3,330403
"sparse_homogeneous",4,3301,6001,6005,"st_csr_sbayesc",30403,4,430403
"sparse_homogeneous",4,3301,6001,6005,"st_csr_sbayesr",30404,1,130404
"sparse_homogeneous",4,3301,6001,6005,"st_csr_sbayesr",30404,2,230404
"sparse_homogeneous",4,3301,6001,6005,"st_csr_sbayesr",30404,3,330404
"sparse_homogeneous",4,3301,6001,6005,"st_csr_sbayesr",30404,4,430404
"sparse_homogeneous",5,3301,6001,6006,"st_bed_bayesc",30501,1,130501
"sparse_homogeneous",5,3301,6001,6006,"st_bed_bayesc",30501,2,230501
"sparse_homogeneous",5,3301,6001,6006,"st_bed_bayesc",30501,3,330501
"sparse_homogeneous",5,3301,6001,6006,"st_bed_bayesc",30501,4,430501
"sparse_homogeneous",5,3301,6001,6006,"st_bed_bayesr",30502,1,130502
"sparse_homogeneous",5,3301,6001,6006,"st_bed_bayesr",30502,2,230502
"sparse_homogeneous",5,3301,6001,6006,"st_bed_bayesr",30502,3,330502
"sparse_homogeneous",5,3301,6001,6006,"st_bed_bayesr",30502,4,430502
"sparse_homogeneous",5,3301,6001,6006,"st_csr_sbayesc",30503,1,130503
"sparse_homogeneous",5,3301,6001,6006,"st_csr_sbayesc",30503,2,230503
"sparse_homogeneous",5,3301,6001,6006,"st_csr_sbayesc",30503,3,330503
"sparse_homogeneous",5,3301,6001,6006,"st_csr_sbayesc",30503,4,430503
"sparse_homogeneous",5,3301,6001,6006,"st_csr_sbayesr",30504,1,130504
"sparse_homogeneous",5,3301,6001,6006,"st_csr_sbayesr",30504,2,230504
"sparse_homogeneous",5,3301,6001,6006,"st_csr_sbayesr",30504,3,330504
"sparse_homogeneous",5,3301,6001,6006,"st_csr_sbayesr",30504,4,430504
"sparse_mixture",1,3301,7001,7002,"st_bed_bayesc",40101,1,140101
"sparse_mixture",1,3301,7001,7002,"st_bed_bayesc",40101,2,240101
"sparse_mixture",1,3301,7001,7002,"st_bed_bayesc",40101,3,340101
"sparse_mixture",1,3301,7001,7002,"st_bed_bayesc",40101,4,440101
"sparse_mixture",1,3301,7001,7002,"st_bed_bayesr",40102,1,140102
"sparse_mixture",1,3301,7001,7002,"st_bed_bayesr",40102,2,240102
"sparse_mixture",1,3301,7001,7002,"st_bed_bayesr",40102,3,340102
"sparse_mixture",1,3301,7001,7002,"st_bed_bayesr",40102,4,440102
"sparse_mixture",1,3301,7001,7002,"st_csr_sbayesc",40103,1,140103
"sparse_mixture",1,3301,7001,7002,"st_csr_sbayesc",40103,2,240103
"sparse_mixture",1,3301,7001,7002,"st_csr_sbayesc",40103,3,340103
"sparse_mixture",1,3301,7001,7002,"st_csr_sbayesc",40103,4,440103
"sparse_mixture",1,3301,7001,7002,"st_csr_sbayesr",40104,1,140104
"sparse_mixture",1,3301,7001,7002,"st_csr_sbayesr",40104,2,240104
"sparse_mixture",1,3301,7001,7002,"st_csr_sbayesr",40104,3,340104
"sparse_mixture",1,3301,7001,7002,"st_csr_sbayesr",40104,4,440104
"sparse_mixture",2,3301,7001,7003,"st_bed_bayesc",40201,1,140201
"sparse_mixture",2,3301,7001,7003,"st_bed_bayesc",40201,2,240201
"sparse_mixture",2,3301,7001,7003,"st_bed_bayesc",40201,3,340201
"sparse_mixture",2,3301,7001,7003,"st_bed_bayesc",40201,4,440201
"sparse_mixture",2,3301,7001,7003,"st_bed_bayesr",40202,1,140202
"sparse_mixture",2,3301,7001,7003,"st_bed_bayesr",40202,2,240202
"sparse_mixture",2,3301,7001,7003,"st_bed_bayesr",40202,3,340202
"sparse_mixture",2,3301,7001,7003,"st_bed_bayesr",40202,4,440202
"sparse_mixture",2,3301,7001,7003,"st_csr_sbayesc",40203,1,140203
"sparse_mixture",2,3301,7001,7003,"st_csr_sbayesc",40203,2,240203
"sparse_mixture",2,3301,7001,7003,"st_csr_sbayesc",40203,3,340203
"sparse_mixture",2,3301,7001,7003,"st_csr_sbayesc",40203,4,440203
"sparse_mixture",2,3301,7001,7003,"st_csr_sbayesr",40204,1,140204
"sparse_mixture",2,3301,7001,7003,"st_csr_sbayesr",40204,2,240204
"sparse_mixture",2,3301,7001,7003,"st_csr_sbayesr",40204,3,340204
"sparse_mixture",2,3301,7001,7003,"st_csr_sbayesr",40204,4,440204
"sparse_mixture",3,3301,7001,7004,"st_bed_bayesc",40301,1,140301
"sparse_mixture",3,3301,7001,7004,"st_bed_bayesc",40301,2,240301
"sparse_mixture",3,3301,7001,7004,"st_bed_bayesc",40301,3,340301
"sparse_mixture",3,3301,7001,7004,"st_bed_bayesc",40301,4,440301
"sparse_mixture",3,3301,7001,7004,"st_bed_bayesr",40302,1,140302
"sparse_mixture",3,3301,7001,7004,"st_bed_bayesr",40302,2,240302
"sparse_mixture",3,3301,7001,7004,"st_bed_bayesr",40302,3,340302
"sparse_mixture",3,3301,7001,7004,"st_bed_bayesr",40302,4,440302
"sparse_mixture",3,3301,7001,7004,"st_csr_sbayesc",40303,1,140303
"sparse_mixture",3,3301,7001,7004,"st_csr_sbayesc",40303,2,240303
"sparse_mixture",3,3301,7001,7004,"st_csr_sbayesc",40303,3,340303
"sparse_mixture",3,3301,7001,7004,"st_csr_sbayesc",40303,4,440303
"sparse_mixture",3,3301,7001,7004,"st_csr_sbayesr",40304,1,140304
"sparse_mixture",3,3301,7001,7004,"st_csr_sbayesr",40304,2,240304
"sparse_mixture",3,3301,7001,7004,"st_csr_sbayesr",40304,3,340304
"sparse_mixture",3,3301,7001,7004,"st_csr_sbayesr",40304,4,440304
"sparse_mixture",4,3301,7001,7005,"st_bed_bayesc",40401,1,140401
"sparse_mixture",4,3301,7001,7005,"st_bed_bayesc",40401,2,240401
"sparse_mixture",4,3301,7001,7005,"st_bed_bayesc",40401,3,340401
"sparse_mixture",4,3301,7001,7005,"st_bed_bayesc",40401,4,440401
"sparse_mixture",4,3301,7001,7005,"st_bed_bayesr",40402,1,140402
"sparse_mixture",4,3301,7001,7005,"st_bed_bayesr",40402,2,240402
"sparse_mixture",4,3301,7001,7005,"st_bed_bayesr",40402,3,340402
"sparse_mixture",4,3301,7001,7005,"st_bed_bayesr",40402,4,440402
"sparse_mixture",4,3301,7001,7005,"st_csr_sbayesc",40403,1,140403
"sparse_mixture",4,3301,7001,7005,"st_csr_sbayesc",40403,2,240403
"sparse_mixture",4,3301,7001,7005,"st_csr_sbayesc",40403,3,340403
"sparse_mixture",4,3301,7001,7005,"st_csr_sbayesc",40403,4,440403
"sparse_mixture",4,3301,7001,7005,"st_csr_sbayesr",40404,1,140404
"sparse_mixture",4,3301,7001,7005,"st_csr_sbayesr",40404,2,240404
"sparse_mixture",4,3301,7001,7005,"st_csr_sbayesr",40404,3,340404
"sparse_mixture",4,3301,7001,7005,"st_csr_sbayesr",40404,4,440404
"sparse_mixture",5,3301,7001,7006,"st_bed_bayesc",40501,1,140501
"sparse_mixture",5,3301,7001,7006,"st_bed_bayesc",40501,2,240501
"sparse_mixture",5,3301,7001,7006,"st_bed_bayesc",40501,3,340501
"sparse_mixture",5,3301,7001,7006,"st_bed_bayesc",40501,4,440501
"sparse_mixture",5,3301,7001,7006,"st_bed_bayesr",40502,1,140502
"sparse_mixture",5,3301,7001,7006,"st_bed_bayesr",40502,2,240502
"sparse_mixture",5,3301,7001,7006,"st_bed_bayesr",40502,3,340502
"sparse_mixture",5,3301,7001,7006,"st_bed_bayesr",40502,4,440502
"sparse_mixture",5,3301,7001,7006,"st_csr_sbayesc",40503,1,140503
"sparse_mixture",5,3301,7001,7006,"st_csr_sbayesc",40503,2,240503
"sparse_mixture",5,3301,7001,7006,"st_csr_sbayesc",40503,3,340503
"sparse_mixture",5,3301,7001,7006,"st_csr_sbayesc",40503,4,440503
"sparse_mixture",5,3301,7001,7006,"st_csr_sbayesr",40504,1,140504
"sparse_mixture",5,3301,7001,7006,"st_csr_sbayesr",40504,2,240504
"sparse_mixture",5,3301,7001,7006,"st_csr_sbayesr",40504,3,340504
"sparse_mixture",5,3301,7001,7006,"st_csr_sbayesr",40504,4,440504
