"architecture","comparison_id","comparison_type","estimand_id","replicate_count","successful_replicates","mean_estimate_difference","sd_estimate_difference","median_estimate_difference","minimum_estimate_difference","maximum_estimate_difference","mean_absolute_error_difference","mean_interval_width_difference","coverage_agreement_observation"
"sparse_homogeneous","csr_vs_bed_bayesr","BED-versus-CSR","heritability",5,5,0.0858725370622033,0.00958550077306967,0.0836683794441455,0.075470820909756,0.0986055239572759,0.0726047915138135,0.018003022159137,
"sparse_mixture","csr_vs_bed_bayesr","BED-versus-CSR","heritability",5,5,0.089327382540332,0.00795498850135742,0.0883302335698125,0.0776396598810699,0.0991277024502534,0.0865218864183856,0.0192365951112043,
"sparse_homogeneous","sbayesr_vs_sbayesc_csr","prior-class","heritability",5,5,0.0876775941853016,0.00495011134178671,0.0873243632997363,0.083004788641373,0.0957857049661962,0.0668615650663683,0.0152600038856668,
"sparse_mixture","sbayesr_vs_sbayesc_csr","prior-class","heritability",5,5,0.0903762859370983,0.00529871683892576,0.0915003677814026,0.0827393340350599,0.0966329531463007,0.0855309201535559,0.0154502493412725,
"sparse_homogeneous","bayesr_vs_bayesc_bed","prior-class","residual_variance",5,5,-0.0363466226960697,0.00405176687496483,-0.0349248838976082,-0.0434748843916448,-0.0333110647882471,-0.0354804372174043,0.00380882137013927,
"sparse_mixture","bayesr_vs_bayesc_bed","prior-class","residual_variance",5,5,-0.0323205584065631,0.00264362302371242,-0.0315894031152165,-0.035741923018843,-0.0297648036746803,-0.0203226839941171,0.00437804947909164,
"sparse_homogeneous","csr_vs_bed_bayesc","BED-versus-CSR","residual_variance",5,5,-0.0329690416287234,0.0150588678688747,-0.0282654730850009,-0.0553080083721702,-0.0147066065206989,-0.0239195089276784,0.00708494362170116,
"sparse_mixture","csr_vs_bed_bayesc","BED-versus-CSR","residual_variance",5,5,-0.0302933182062972,0.00900146938493776,-0.0264971165247473,-0.0436325553985359,-0.0220176941158823,-0.0212026690134018,0.00620479027041425,
"sparse_homogeneous","csr_vs_bed_bayesr","BED-versus-CSR","residual_variance",5,5,-0.122647511719412,0.0145345548316907,-0.11670428677184,-0.143605919378442,-0.108343938716063,0.110922817657464,0.0186318427055092,
"sparse_mixture","csr_vs_bed_bayesr","BED-versus-CSR","residual_variance",5,5,-0.127946066235129,0.0127000591099081,-0.127390678330825,-0.14312644547203,-0.108531384717815,0.125625595030737,0.0187696385373528,
"sparse_homogeneous","sbayesr_vs_sbayesc_csr","prior-class","residual_variance",5,5,-0.126025092786758,0.00632494622657088,-0.123456008302626,-0.13647383582399,-0.120099671501072,0.0993618893677382,0.0153557204539473,
"sparse_mixture","sbayesr_vs_sbayesc_csr","prior-class","residual_variance",5,5,-0.129973306435395,0.00902976928203841,-0.133431541739502,-0.139039665138711,-0.116278494276613,0.126505580050021,0.0169428977460302,
"sparse_homogeneous","bayesr_vs_bayesc_bed","prior-class","total_marker_effect_variance",5,0,,,,,,,,
"sparse_mixture","bayesr_vs_bayesc_bed","prior-class","total_marker_effect_variance",5,0,,,,,,,,
"sparse_homogeneous","csr_vs_bed_bayesc","BED-versus-CSR","total_marker_effect_variance",5,0,,,,,,,,
"sparse_mixture","csr_vs_bed_bayesc","BED-versus-CSR","total_marker_effect_variance",5,0,,,,,,,,
"sparse_homogeneous","csr_vs_bed_bayesr","BED-versus-CSR","total_marker_effect_variance",5,0,,,,,,,,
"sparse_mixture","csr_vs_bed_bayesr","BED-versus-CSR","total_marker_effect_variance",5,0,,,,,,,,
"sparse_homogeneous","sbayesr_vs_sbayesc_csr","prior-class","total_marker_effect_variance",5,0,,,,,,,,
"sparse_mixture","sbayesr_vs_sbayesc_csr","prior-class","total_marker_effect_variance",5,0,,,,,,,,
