"architecture","replicate","estimand_id","truth","truth_type","truth_definition","source","status","reason"
"sparse_mixture",3,"causal_proportion",0.00131610118185886,"realized_quantity","causal_count/marker_count","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",3,"effect_variance",0.00865592436229226,"realized_quantity","mean(causal_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",3,"total_marker_effect_variance",0.432796218114613,"realized_quantity","sum(marker_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",3,"genetic_variance",0.428571428571429,"realized_quantity","var(genetic_values)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",3,"residual_variance",1,"realized_quantity","var(residuals)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",3,"heritability",0.3,"realized_quantity","var(G)/(var(G)+var(E))","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",4,"causal_proportion",0.00131610118185886,"realized_quantity","causal_count/marker_count","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",4,"effect_variance",0.00880511534035686,"realized_quantity","mean(causal_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",4,"total_marker_effect_variance",0.440255767017843,"realized_quantity","sum(marker_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",4,"genetic_variance",0.428571428571429,"realized_quantity","var(genetic_values)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",4,"residual_variance",1,"realized_quantity","var(residuals)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",4,"heritability",0.3,"realized_quantity","var(G)/(var(G)+var(E))","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",5,"causal_proportion",0.00131610118185886,"realized_quantity","causal_count/marker_count","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",5,"effect_variance",0.00840533445052469,"realized_quantity","mean(causal_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",5,"total_marker_effect_variance",0.420266722526235,"realized_quantity","sum(marker_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",5,"genetic_variance",0.428571428571429,"realized_quantity","var(genetic_values)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",5,"residual_variance",1,"realized_quantity","var(residuals)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",5,"heritability",0.3,"realized_quantity","var(G)/(var(G)+var(E))","validated simulation on the fitted analysis scale","ok",""
