"architecture","comparison_id","comparison_type","estimand_id","replicate_count","successful_replicates","mean_estimate_difference","sd_estimate_difference","median_estimate_difference","minimum_estimate_difference","maximum_estimate_difference","mean_absolute_error_difference","mean_interval_width_difference","coverage_agreement_observation"
"sparse_homogeneous","csr_vs_bed_bayesr","BED-versus-CSR","heritability",5,5,0.0860054016277156,0.00974297313187365,0.0842404450121735,0.075431960126608,0.098744170566056,0.0730192692718731,0.0173060357601468,
"sparse_mixture","csr_vs_bed_bayesr","BED-versus-CSR","heritability",5,5,0.089433825257258,0.00860371308473222,0.0881839942474646,0.0767589257509031,0.0999195215988024,0.0871031276099279,0.0189434187680856,
"sparse_homogeneous","sbayesr_vs_sbayesc_csr","prior-class","heritability",5,5,0.0879620307823558,0.00507233759452108,0.0875053058735291,0.083027170264978,0.09604057711806,0.0671460016634226,0.0146240977742317,
"sparse_mixture","sbayesr_vs_sbayesc_csr","prior-class","heritability",5,5,0.0907918214532869,0.00541489308645118,0.091855387443083,0.0830455960914337,0.0972480530967642,0.0859464556697445,0.0155630690173547,
"sparse_homogeneous","bayesr_vs_bayesc_bed","prior-class","residual_variance",5,5,-0.0364283973830243,0.00401090416233412,-0.0349808905078262,-0.0435154672636979,-0.0337489246863842,-0.0357160003967683,0.0044459864112306,
"sparse_mixture","bayesr_vs_bayesc_bed","prior-class","residual_variance",5,5,-0.0321578522289714,0.0025830401801146,-0.0308374174768405,-0.035145030339918,-0.0296084577226787,-0.0206218090948011,0.00504215913839405,
"sparse_homogeneous","csr_vs_bed_bayesc","BED-versus-CSR","residual_variance",5,5,-0.0329690416287234,0.0150588678688747,-0.0282654730850009,-0.0553080083721702,-0.0147066065206989,-0.0239195089276784,0.00708494362170116,
"sparse_mixture","csr_vs_bed_bayesc","BED-versus-CSR","residual_variance",5,5,-0.0302933182062972,0.00900146938493776,-0.0264971165247473,-0.0436325553985359,-0.0220176941158823,-0.0212026690134018,0.00620479027041427,
"sparse_homogeneous","csr_vs_bed_bayesr","BED-versus-CSR","residual_variance",5,5,-0.122798615768713,0.0141718381430213,-0.117574484996471,-0.143114408764746,-0.108895447771052,0.111391259573083,0.0171831772058604,
"sparse_mixture","csr_vs_bed_bayesr","BED-versus-CSR","residual_variance",5,5,-0.128359211001089,0.0136391290606824,-0.12799230675737,-0.14412571531112,-0.107363915334194,0.126175158719789,0.0191746164526097,
"sparse_homogeneous","sbayesr_vs_sbayesc_csr","prior-class","residual_variance",5,5,-0.126257971523013,0.00650028204034147,-0.124832858001665,-0.136529417621798,-0.119718246577093,0.0995947681039933,0.0145442199953898,
"sparse_mixture","sbayesr_vs_sbayesc_csr","prior-class","residual_variance",5,5,-0.130223745023763,0.00945754527955586,-0.13352999302359,-0.139909147627226,-0.115808502157061,0.12675601863839,0.0180119853205895,
"sparse_homogeneous","bayesr_vs_bayesc_bed","prior-class","total_marker_effect_variance",5,0,,,,,,,,
"sparse_mixture","bayesr_vs_bayesc_bed","prior-class","total_marker_effect_variance",5,0,,,,,,,,
"sparse_homogeneous","csr_vs_bed_bayesc","BED-versus-CSR","total_marker_effect_variance",5,0,,,,,,,,
"sparse_mixture","csr_vs_bed_bayesc","BED-versus-CSR","total_marker_effect_variance",5,0,,,,,,,,
"sparse_homogeneous","csr_vs_bed_bayesr","BED-versus-CSR","total_marker_effect_variance",5,0,,,,,,,,
"sparse_mixture","csr_vs_bed_bayesr","BED-versus-CSR","total_marker_effect_variance",5,0,,,,,,,,
"sparse_homogeneous","sbayesr_vs_sbayesc_csr","prior-class","total_marker_effect_variance",5,0,,,,,,,,
"sparse_mixture","sbayesr_vs_sbayesc_csr","prior-class","total_marker_effect_variance",5,0,,,,,,,,
